smpl_joint_0_x,smpl_joint_0_y,smpl_joint_0_z,smpl_joint_1_x,smpl_joint_1_y,smpl_joint_1_z,smpl_joint_2_x,smpl_joint_2_y,smpl_joint_2_z,smpl_joint_3_x,smpl_joint_3_y,smpl_joint_3_z,smpl_joint_4_x,smpl_joint_4_y,smpl_joint_4_z,smpl_joint_5_x,smpl_joint_5_y,smpl_joint_5_z,smpl_joint_6_x,smpl_joint_6_y,smpl_joint_6_z,smpl_joint_7_x,smpl_joint_7_y,smpl_joint_7_z,smpl_joint_8_x,smpl_joint_8_y,smpl_joint_8_z,smpl_joint_9_x,smpl_joint_9_y,smpl_joint_9_z,smpl_joint_10_x,smpl_joint_10_y,smpl_joint_10_z,smpl_joint_11_x,smpl_joint_11_y,smpl_joint_11_z,smpl_joint_12_x,smpl_joint_12_y,smpl_joint_12_z,smpl_joint_13_x,smpl_joint_13_y,smpl_joint_13_z,smpl_joint_14_x,smpl_joint_14_y,smpl_joint_14_z,smpl_joint_15_x,smpl_joint_15_y,smpl_joint_15_z,smpl_joint_16_x,smpl_joint_16_y,smpl_joint_16_z,smpl_joint_17_x,smpl_joint_17_y,smpl_joint_17_z,smpl_joint_18_x,smpl_joint_18_y,smpl_joint_18_z,smpl_joint_19_x,smpl_joint_19_y,smpl_joint_19_z,smpl_joint_20_x,smpl_joint_20_y,smpl_joint_20_z,smpl_joint_21_x,smpl_joint_21_y,smpl_joint_21_z,smpl_joint_22_x,smpl_joint_22_y,smpl_joint_22_z,smpl_joint_23_x,smpl_joint_23_y,smpl_joint_23_z
0.003123261,-0.351407468,0.012036551,0.059129383,-0.320966274,-0.080719888,-0.061888229,-0.332845777,-0.091308348,-0.000660250,-0.325202882,0.122242272,0.137888044,-0.332322687,-0.455155313,-0.110903293,-0.352522939,-0.452925563,0.006493839,-0.329353184,0.254308134,0.118645318,-0.289829254,-0.859116912,-0.100578330,-0.326338500,-0.863474250,-0.002172449,-0.348705858,0.311022103,0.183682144,-0.388563693,-0.933907986,-0.154797480,-0.432193249,-0.933732867,-0.013325915,-0.330499917,0.478269637,0.045248445,-0.344111800,0.395564020,-0.048996896,-0.345460325,0.396837533,-0.005558241,-0.259370655,0.625474334,0.155406326,-0.332698911,0.469890505,-0.146179229,-0.339802116,0.460642546,0.407456875,-0.246682286,0.495545775,-0.415999234,-0.305067986,0.499944448,0.650987685,-0.276658922,0.557484806,-0.662546992,-0.323745728,0.535366237,0.733028412,-0.332703501,0.524297059,-0.744956911,-0.381364822,0.508355379
0.003123261,-0.351407468,0.012036551,0.059111163,-0.320962250,-0.080729589,-0.061904892,-0.332871646,-0.091302522,-0.000653447,-0.325192720,0.122240096,0.137914613,-0.332360893,-0.455154359,-0.110826910,-0.352618963,-0.452928543,0.006443177,-0.329299867,0.254310399,0.118810967,-0.290091336,-0.859146059,-0.100453012,-0.326553762,-0.863483548,-0.002255237,-0.348640174,0.311023712,0.183858231,-0.388806462,-0.933953643,-0.154560402,-0.432487339,-0.933709502,-0.013530679,-0.330454171,0.478265226,0.045104466,-0.344050884,0.395600140,-0.049141657,-0.345409036,0.396805823,-0.005939950,-0.259309053,0.625471473,0.155207828,-0.332635283,0.470007002,-0.146371081,-0.339779496,0.460541606,0.407241285,-0.246681273,0.496038228,-0.416216552,-0.304985672,0.499615580,0.650690496,-0.276913226,0.558174253,-0.662791133,-0.323555648,0.534907341,0.732731223,-0.333012849,0.525079429,-0.745264292,-0.381124139,0.507981598
0.003123261,-0.351407468,0.012036551,0.059109151,-0.320928246,-0.080719635,-0.061903942,-0.332860231,-0.091301076,-0.000664026,-0.325220078,0.122246228,0.137825713,-0.332269251,-0.455164433,-0.110791169,-0.352708906,-0.452926278,0.006419562,-0.329321057,0.254317433,0.118723631,-0.290158004,-0.859172702,-0.100378349,-0.326994896,-0.863502502,-0.002310108,-0.348649144,0.311030120,0.183739200,-0.388868600,-0.934013784,-0.154387668,-0.432968199,-0.933744073,-0.013643093,-0.330513120,0.478273213,0.045021608,-0.344072312,0.395622909,-0.049224567,-0.345453560,0.396798253,-0.006175733,-0.259301364,0.625453591,0.155108556,-0.332613915,0.470047474,-0.146463856,-0.339859635,0.460522115,0.407123566,-0.246585250,0.496010125,-0.416354358,-0.305055946,0.499275148,0.650576532,-0.276765883,0.558156133,-0.662966132,-0.323603868,0.534317732,0.732387424,-0.333088458,0.524871707,-0.745435596,-0.381185472,0.507408619
0.003123261,-0.351407468,0.012036551,0.059109151,-0.320928246,-0.080719635,-0.061903942,-0.332860231,-0.091301076,-0.000664026,-0.325220078,0.122246228,0.138074085,-0.332554132,-0.455103368,-0.110791169,-0.352708906,-0.452926278,0.006419562,-0.329321057,0.254317433,0.119254649,-0.290890783,-0.859171271,-0.100378349,-0.326994896,-0.863502502,-0.002310108,-0.348649144,0.311030120,0.184212774,-0.389669687,-0.933972120,-0.154327199,-0.432780445,-0.934072793,-0.013643093,-0.330513120,0.478273213,0.045021608,-0.344072312,0.395622909,-0.049224567,-0.345453560,0.396798253,-0.006161852,-0.259077072,0.625344157,0.155079186,-0.332624763,0.470092595,-0.146471262,-0.339772671,0.460503161,0.407077134,-0.246432960,0.495677501,-0.416363925,-0.304900616,0.499179453,0.650480688,-0.276455343,0.558093071,-0.662953973,-0.323398858,0.534400702,0.731614649,-0.333361208,0.524150133,-0.745367110,-0.381091744,0.507557273
0.003123261,-0.351407468,0.012036551,0.059050851,-0.320873082,-0.080736652,-0.061968196,-0.332804322,-0.091250554,-0.000597468,-0.325282902,0.122263402,0.138018265,-0.332438082,-0.455121756,-0.110745892,-0.352800578,-0.452882379,0.006481943,-0.329420954,0.254333675,0.119284049,-0.290987611,-0.859215617,-0.100252517,-0.327302128,-0.863469958,-0.002307354,-0.348736435,0.311041415,0.184181288,-0.389762223,-0.934074938,-0.154188901,-0.433138281,-0.933973849,-0.013734236,-0.330703378,0.478289187,0.044975609,-0.344226092,0.395665050,-0.049271621,-0.345582455,0.396783799,-0.006227419,-0.259219974,0.625335813,0.154990464,-0.332798958,0.470200956,-0.146563143,-0.339934856,0.460423172,0.406954467,-0.246495858,0.495744944,-0.416501254,-0.304896981,0.498629421,0.650379181,-0.276597410,0.558039665,-0.663143396,-0.323207438,0.533583045,0.731246054,-0.333768994,0.523906589,-0.745543003,-0.380885005,0.506665647
0.003123261,-0.351407468,0.012036551,0.059050851,-0.320873082,-0.080736652,-0.061968196,-0.332804322,-0.091250554,-0.000597468,-0.325282902,0.122263402,0.138018265,-0.332438082,-0.455121756,-0.110549390,-0.353085130,-0.452892959,0.006481943,-0.329420954,0.254333675,0.119284049,-0.290987611,-0.859215617,-0.099878937,-0.327846885,-0.863492012,-0.002307354,-0.348736435,0.311041415,0.184181288,-0.389762223,-0.934074938,-0.153844044,-0.433828294,-0.933755279,-0.013734236,-0.330703378,0.478289187,0.044975609,-0.344226092,0.395665050,-0.049271621,-0.345582455,0.396783799,-0.006227419,-0.259219974,0.625335813,0.154990464,-0.332798958,0.470200956,-0.146563143,-0.339934856,0.460423172,0.406936526,-0.246421054,0.495668739,-0.416501254,-0.304896981,0.498629421,0.650446177,-0.276538372,0.557623029,-0.663143396,-0.323207438,0.533583045,0.731275558,-0.333809316,0.523567855,-0.745543003,-0.380885005,0.506665647
0.003123261,-0.351407468,0.012036551,0.059029602,-0.320854723,-0.080743402,-0.061993085,-0.332773596,-0.091229320,-0.000567175,-0.325309783,0.122270785,0.138154715,-0.332512558,-0.455092311,-0.110530227,-0.352794945,-0.452892095,0.006473929,-0.329439998,0.254343331,0.119658545,-0.291485161,-0.859240174,-0.099894464,-0.327943474,-0.863515675,-0.002336854,-0.348742127,0.311052293,0.184487611,-0.390277058,-0.934135735,-0.153937280,-0.433917463,-0.933730364,-0.013816422,-0.330716342,0.478297234,0.044918194,-0.344249755,0.395692468,-0.049329758,-0.345580846,0.396778733,-0.006323920,-0.259104848,0.625282228,0.154939458,-0.332872778,0.470226556,-0.146640271,-0.339959979,0.460391402,0.406912953,-0.246540874,0.495578676,-0.416596442,-0.304641187,0.498209298,0.650431514,-0.276872873,0.557392955,-0.663281143,-0.322623879,0.533032596,0.731158555,-0.334169805,0.523139298,-0.745631218,-0.380351812,0.506071270
0.003123261,-0.351407468,0.012036551,0.059016000,-0.320795119,-0.080731958,-0.061999183,-0.332781911,-0.091226980,-0.000587630,-0.325343817,0.122278154,0.138190135,-0.332520753,-0.455068409,-0.110489458,-0.352682382,-0.452902764,0.006422690,-0.329487741,0.254351914,0.119689301,-0.291750789,-0.859242201,-0.099909604,-0.328236610,-0.863552153,-0.002370443,-0.348799884,0.311060190,0.184500664,-0.390521437,-0.934181094,-0.153962165,-0.434188098,-0.933793306,-0.013880137,-0.330812395,0.478307247,0.044871669,-0.344300270,0.395707220,-0.049375731,-0.345678836,0.396781296,-0.006501499,-0.259117305,0.625257254,0.154898778,-0.332958847,0.470238090,-0.146689415,-0.340119720,0.460394502,0.406874478,-0.246585667,0.495426595,-0.416669965,-0.304701805,0.497944355,0.650432944,-0.276954561,0.557065248,-0.663384199,-0.322513103,0.532645702,0.731109917,-0.334232867,0.522662699,-0.745676041,-0.380302966,0.505639553
0.003123261,-0.351407468,0.012036551,0.059016000,-0.320795119,-0.080731958,-0.061999183,-0.332781911,-0.091226980,-0.000587630,-0.325343817,0.122278154,0.138190135,-0.332520753,-0.455068409,-0.110489458,-0.352682382,-0.452902764,0.006422690,-0.329487741,0.254351914,0.119689301,-0.291750789,-0.859242201,-0.099909604,-0.328236610,-0.863552153,-0.002370443,-0.348799884,0.311060190,0.184500664,-0.390521437,-0.934181094,-0.153770179,-0.434121549,-0.934040666,-0.013880137,-0.330812395,0.478307247,0.044871669,-0.344300270,0.395707220,-0.049375731,-0.345678836,0.396781296,-0.006501499,-0.259117305,0.625257254,0.154898778,-0.332958847,0.470238090,-0.146689415,-0.340119720,0.460394502,0.406874478,-0.246585667,0.495426595,-0.416669965,-0.304701805,0.497944355,0.650432944,-0.276954561,0.557065248,-0.663384199,-0.322513103,0.532645702,0.731101155,-0.334299773,0.522753775,-0.745665133,-0.380282432,0.505562305
0.003123261,-0.351407468,0.012036551,0.059003390,-0.320797086,-0.080740198,-0.062008999,-0.332818925,-0.091227457,-0.000589711,-0.325324386,0.122273482,0.138221905,-0.332646430,-0.455063343,-0.110492781,-0.352844089,-0.452897161,0.006371991,-0.329484075,0.254349321,0.119848043,-0.292030007,-0.859258354,-0.099829637,-0.328456491,-0.863547802,-0.002419984,-0.348777145,0.311064273,0.184663251,-0.390785873,-0.934213400,-0.153707847,-0.434420288,-0.933904290,-0.013906229,-0.330797017,0.478313714,0.044833258,-0.344289809,0.395705730,-0.049414244,-0.345653206,0.396791339,-0.006554506,-0.259079516,0.625254154,0.154853448,-0.332904875,0.470240176,-0.146690339,-0.340078056,0.460460663,0.406850100,-0.246564537,0.495332062,-0.416665375,-0.304605931,0.497999430,0.650461614,-0.276909441,0.556772768,-0.663396657,-0.322113812,0.532734871,0.731190205,-0.334214449,0.522536218,-0.745725274,-0.379843980,0.505712986
