body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z,body_14_vel_x,body_14_vel_y,body_14_vel_z,body_15_vel_x,body_15_vel_y,body_15_vel_z,body_16_vel_x,body_16_vel_y,body_16_vel_z,body_17_vel_x,body_17_vel_y,body_17_vel_z,body_18_vel_x,body_18_vel_y,body_18_vel_z,body_19_vel_x,body_19_vel_y,body_19_vel_z,body_20_vel_x,body_20_vel_y,body_20_vel_z,body_21_vel_x,body_21_vel_y,body_21_vel_z,body_22_vel_x,body_22_vel_y,body_22_vel_z,body_23_vel_x,body_23_vel_y,body_23_vel_z,body_24_vel_x,body_24_vel_y,body_24_vel_z,body_25_vel_x,body_25_vel_y,body_25_vel_z,body_26_vel_x,body_26_vel_y,body_26_vel_z,body_27_vel_x,body_27_vel_y,body_27_vel_z,body_28_vel_x,body_28_vel_y,body_28_vel_z,body_29_vel_x,body_29_vel_y,body_29_vel_z
-0.003155004,0.006080000,0.000309944,-0.003062885,0.005868281,0.000604196,-0.002990359,0.007070486,0.000624337,-0.003091681,0.012155024,0.000871295,-0.003091681,0.012155026,0.000871295,0.002029583,-0.003569853,-0.001919918,0.002029584,-0.003569853,-0.001919918,-0.003062924,0.005835732,0.000007825,-0.002907958,0.005292904,0.000011466,-0.000639356,0.002820041,-0.000288022,-0.000639356,0.002820041,-0.000288022,0.001419578,-0.001240816,-0.001077482,0.001419580,-0.001240816,-0.001077482,-0.004158221,0.008563480,0.000352796,-0.004156873,0.008412676,0.000770174,-0.004156873,0.008412676,0.000770174,-0.004130347,0.009071389,0.001172200,-0.004130347,0.009071389,0.001172200,-0.004118324,0.009067277,0.001476581,-0.004118324,0.009067276,0.001476581,-0.004085734,0.009005525,0.001689088,-0.004159570,0.008714288,-0.000064587,-0.004159569,0.008714288,-0.000064587,-0.004814201,0.011610569,-0.004698324,-0.004814201,0.011610570,-0.004698324,-0.005595367,0.013567222,-0.007796544,-0.005595368,0.013567222,-0.007796545,-0.005871899,0.014232500,-0.008875484,-0.004679205,0.009853185,0.000375047,-0.004679205,0.009853185,0.000375047
-0.005710003,0.009374972,-0.000439584,-0.005743925,0.011550996,-0.000102351,-0.005576682,0.010051578,-0.000198009,-0.004396833,0.005108930,-0.000313126,-0.004396833,0.005108930,-0.000313126,-0.003322598,0.003582680,-0.000534990,-0.003322598,0.003582680,-0.000534990,-0.005328170,0.003727848,-0.000832349,-0.005297019,0.003913077,-0.000811629,-0.004525978,0.001085822,-0.001005170,-0.004525978,0.001085823,-0.001005170,-0.004788367,0.000499561,-0.001088223,-0.004788365,0.000499561,-0.001088222,-0.007604863,0.028279919,-0.000137134,-0.007593686,0.032870889,0.000737835,-0.007593686,0.032870889,0.000737834,-0.007035597,0.045716025,0.000355317,-0.007035597,0.045716025,0.000355317,-0.012664814,0.029882036,-0.003265953,-0.012664814,0.029882029,-0.003265955,-0.013158370,0.021325395,0.004683394,-0.007616039,0.023688897,-0.001012113,-0.007616036,0.023688896,-0.001012113,-0.010456264,0.033522129,-0.022736991,-0.010456264,0.033522133,-0.022736989,-0.010549091,0.028766282,-0.035517529,-0.010549091,0.028766282,-0.035517517,-0.010544751,0.027251139,-0.038987134,-0.008588888,0.038097475,0.000019927,-0.008588888,0.038097475,0.000019927
-0.005129998,0.008419994,-0.000989437,-0.005198832,0.011083055,-0.000671185,-0.005025335,0.009121927,-0.000781856,-0.004054860,0.002509186,-0.001001391,-0.004054860,0.002509186,-0.001001391,-0.004008981,0.000310014,-0.001447729,-0.004008981,0.000310015,-0.001447729,-0.004679166,0.001511049,-0.001368146,-0.004681961,0.001712407,-0.001355159,-0.005874547,-0.001991738,-0.001428875,-0.005874547,-0.001991738,-0.001428875,-0.007262799,-0.001898121,-0.001336783,-0.007262800,-0.001898116,-0.001336784,-0.007210506,0.031544700,-0.000660166,-0.007203312,0.037235890,0.000292459,-0.007203313,0.037235890,0.000292459,-0.006551103,0.053028658,-0.000318487,-0.006551104,0.053028654,-0.000318488,-0.013661835,0.033275664,-0.004770572,-0.013661839,0.033275656,-0.004770577,-0.014419168,0.022568345,0.005111143,-0.007217700,0.025853449,-0.001612802,-0.007217702,0.025853448,-0.001612801,-0.010426622,0.036984246,-0.027183024,-0.010426622,0.036984246,-0.027183020,-0.010187346,0.030276477,-0.041938663,-0.010187346,0.030276477,-0.041938666,-0.010067869,0.028148621,-0.045841388,-0.008290941,0.043553624,-0.000489177,-0.008290941,0.043553624,-0.000489177
-0.003389997,0.007625017,0.000095367,-0.003336066,0.007796645,0.000330986,-0.003259287,0.008195579,0.000322763,-0.003054130,0.010059876,0.000439750,-0.003054130,0.010059877,0.000439751,0.001007205,-0.003944192,-0.002080591,0.001007205,-0.003944191,-0.002080591,-0.003250720,0.006212543,-0.000157592,-0.003137610,0.005630890,-0.000167525,-0.002873382,0.002100020,-0.000350729,-0.002873382,0.002100020,-0.000350729,-0.001856879,-0.001233442,-0.000961164,-0.001856878,-0.001233442,-0.000961164,-0.004442276,0.014383145,0.000189812,-0.004440358,0.015127583,0.000639431,-0.004440358,0.015127583,0.000639431,-0.004307853,0.018412666,0.000776914,-0.004307853,0.018412666,0.000776914,-0.005762711,0.014317855,0.000379918,-0.005762711,0.014317855,0.000379918,-0.005919039,0.012081601,0.002480991,-0.004444192,0.013638698,-0.000259811,-0.004444193,0.013638698,-0.000259812,-0.005420730,0.017727785,-0.007733819,-0.005420730,0.017727785,-0.007733818,-0.005845482,0.017739177,-0.012205984,-0.005845483,0.017739173,-0.012205982,-0.005988032,0.017773844,-0.013512688,-0.004988737,0.017892724,0.000238856,-0.004988737,0.017892724,0.000238856
-0.003189998,0.009374972,0.001235306,-0.003042441,0.008680961,0.001629825,-0.002961078,0.010775783,0.001675703,-0.003441514,0.019391891,0.002054749,-0.003441514,0.019391891,0.002054749,0.005372898,-0.008040934,-0.002776433,0.005372898,-0.008040934,-0.002776433,-0.003078880,0.009305761,0.000829746,-0.002860172,0.008518725,0.000833690,0.000228133,0.005111793,0.000427527,0.000228133,0.005111793,0.000427527,0.003931221,-0.000232909,-0.000663820,0.003931221,-0.000232907,-0.000663820,-0.004598845,0.013531779,0.001295442,-0.004597171,0.012761682,0.001873025,-0.004597171,0.012761682,0.001873025,-0.004602950,0.012700154,0.002530552,-0.004602950,0.012700154,0.002530552,-0.004743432,0.012174705,0.003501703,-0.004743432,0.012174705,0.003501703,-0.004755454,0.011913302,0.003775148,-0.004600520,0.014301886,0.000717853,-0.004600520,0.014301885,0.000717853,-0.005205395,0.017670779,-0.003460641,-0.005205394,0.017670777,-0.003460641,-0.006054770,0.020121038,-0.006112272,-0.006054770,0.020121038,-0.006112271,-0.006354624,0.020953499,-0.007047404,-0.005330478,0.015690465,0.001326668,-0.005330478,0.015690465,0.001326668
-0.002920005,0.010374979,0.001171231,-0.002784032,0.009664478,0.001519942,-0.002712187,0.011575785,0.001564119,-0.003114707,0.019382998,0.001917163,-0.003114706,0.019383000,0.001917163,0.005206217,-0.006956073,-0.002684157,0.005206216,-0.006956073,-0.002684157,-0.002820486,0.010295848,0.000811426,-0.002617194,0.009447888,0.000807469,-0.000382718,0.005709769,0.000457125,-0.000382718,0.005709769,0.000457125,0.002512177,-0.000005167,-0.000648772,0.002512176,-0.000005167,-0.000648772,-0.004202583,0.014675618,0.001231654,-0.004201270,0.013821891,0.001755946,-0.004201270,0.013821891,0.001755946,-0.004208915,0.013705472,0.002331690,-0.004208915,0.013705472,0.002331690,-0.004393751,0.013065374,0.003216133,-0.004393751,0.013065374,0.003216132,-0.004421586,0.012771377,0.003460573,-0.004203896,0.015529355,0.000707357,-0.004203896,0.015529355,0.000707357,-0.004858638,0.019267386,-0.003793398,-0.004858638,0.019267386,-0.003793399,-0.005794159,0.022007592,-0.006626167,-0.005794160,0.022007592,-0.006626169,-0.006127045,0.022939332,-0.007652848,-0.004868642,0.016909000,0.001263030,-0.004868642,0.016909000,0.001263030
-0.005750000,0.009799981,0.001375377,-0.006823781,0.013772665,-0.001731345,-0.008022716,0.009916564,-0.001534032,-0.003257511,-0.003603561,-0.001678909,-0.003257510,-0.003603561,-0.001678909,-0.002799398,-0.000196824,-0.000956613,-0.002799398,-0.000196823,-0.000956613,-0.006527102,0.008652948,0.004524753,-0.007806923,0.007733386,0.004127750,-0.005502156,0.003476475,0.003749394,-0.005502155,0.003476475,0.003749394,-0.001553648,-0.004854524,0.002154594,-0.001553648,-0.004854524,0.002154594,0.004330616,-0.005589585,0.001143066,0.004316690,-0.004939908,-0.003052451,0.004316689,-0.004939910,-0.003052451,0.004716855,0.003928147,-0.011006404,0.004716854,0.003928146,-0.011006404,0.004905319,0.005568810,-0.019617468,0.004905319,0.005568817,-0.019617468,0.005211416,0.009864748,-0.023637936,0.004344543,-0.006239269,0.005338630,0.004344538,-0.006239269,0.005338631,0.002008114,0.007531345,-0.010591285,0.002008114,0.007531345,-0.010591283,-0.001782183,0.019689977,-0.019393200,-0.001782179,0.019689977,-0.019393206,-0.003842667,0.024009595,-0.029284075,0.009565610,-0.013581590,0.001022448,0.009565610,-0.013581590,0.001022448
-0.007369998,0.008430007,-0.000220537,-0.008403831,0.012570069,-0.003115395,-0.009376466,0.005971591,-0.003052158,-0.002083044,-0.019308567,-0.003450045,-0.002083045,-0.019308567,-0.003450045,-0.007324038,0.006465302,0.001308103,-0.007324038,0.006465302,0.001308103,-0.008086945,0.007228679,0.002724612,-0.009282098,0.006305108,0.002350989,-0.006472887,0.002003102,0.001931972,-0.006472887,0.002003101,0.001931972,-0.002103202,-0.005705003,0.000423180,-0.002103202,-0.005705001,0.000423178,0.002165421,-0.007575477,-0.000494445,0.002148374,-0.006560607,-0.004455288,0.002148374,-0.006560605,-0.004455289,0.002538553,0.002722528,-0.012050116,0.002538553,0.002722528,-0.012050116,0.002919657,0.004939578,-0.020445960,0.002919658,0.004939571,-0.020445962,0.003294340,0.009470642,-0.024339505,0.002182470,-0.008590361,0.003466444,0.002182472,-0.008590363,0.003466443,0.000042999,0.003925811,-0.011813720,0.000042999,0.003925808,-0.011813723,-0.003449980,0.015189040,-0.020272823,-0.003449984,0.015189039,-0.020272829,-0.005341418,0.019200597,-0.030014150,0.007117287,-0.015887337,-0.000636666,0.007117287,-0.015887337,-0.000636666
-0.005669997,0.009425030,-0.000488758,-0.005483787,0.009138729,0.000133013,-0.005140708,0.007501773,-0.000009077,-0.002598208,0.000172671,-0.000064296,-0.002598208,0.000172671,-0.000064296,-0.002679914,0.004672736,0.000843231,-0.002679914,0.004672736,0.000843231,-0.005493880,0.009241284,-0.001118856,-0.005193953,0.008612382,-0.001082402,-0.002885100,0.005752369,-0.001395544,-0.002885100,0.005752370,-0.001395544,0.000074555,0.002069646,-0.002162770,0.000074558,0.002069646,-0.002162770,-0.007643366,0.011985091,-0.000443407,-0.007639884,0.011829057,0.000376948,-0.007639884,0.011829057,0.000376947,-0.007608596,0.012720199,0.001281167,-0.007608596,0.012720199,0.001281167,-0.007363033,0.013288476,0.002265765,-0.007363033,0.013288476,0.002265765,-0.007260486,0.013421439,0.002552350,-0.007646848,0.012141126,-0.001263771,-0.007646848,0.012141127,-0.001263771,-0.008102059,0.014067193,-0.004939667,-0.008102059,0.014067193,-0.004939666,-0.008679042,0.015533953,-0.007385400,-0.008679043,0.015533952,-0.007385400,-0.008878930,0.016030364,-0.008233152,-0.008668162,0.013314563,-0.000419860,-0.008668162,0.013314563,-0.000419860
-0.003934998,0.009820005,0.001393259,-0.003746384,0.009369477,0.001988377,-0.003574741,0.011156512,0.001994493,-0.004261495,0.018570447,0.002272574,-0.004261495,0.018570447,0.002272574,0.002911355,-0.006017987,-0.002093361,0.002911356,-0.006017986,-0.002093361,-0.003763638,0.009606626,0.000787164,-0.003481456,0.009087942,0.000826420,-0.000310456,0.006763887,0.000468653,-0.000310456,0.006763888,0.000468653,0.003626199,0.002315227,-0.000476238,0.003626198,0.002315223,-0.000476237,-0.005895554,0.013435895,0.001453035,-0.005892240,0.013167837,0.002266733,-0.005892240,0.013167837,0.002266733,-0.005865881,0.013936582,0.003176539,-0.005865881,0.013936582,0.003176539,-0.005652750,0.014399217,0.004262779,-0.005652750,0.014399217,0.004262779,-0.005558849,0.014465779,0.004592819,-0.005898868,0.013703956,0.000639327,-0.005898867,0.013703957,0.000639327,-0.006378654,0.015927020,-0.003146575,-0.006378654,0.015927020,-0.003146575,-0.007013417,0.017648064,-0.005566533,-0.007013417,0.017648064,-0.005566534,-0.007234815,0.018231336,-0.006424606,-0.006913695,0.015313676,0.001484072,-0.006913695,0.015313676,0.001484072
