joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.029999800,0.122339599,0.159327403,0.151096195,-0.154187411,-0.086057603,0.035297602,-0.073223799,-0.282034576,0.121483594,-0.155104205,0.055429600,-0.056421801,1.348867416,1.609019518,1.201579213,1.268300533,-0.199139804,-0.183810592,0.031673998,0.517799616,-1.672657967,-0.506358385,1.388208032,0.006735200,-0.002796400,-0.036453199,0.000000000,0.000000000
0.028262014,0.124127984,0.160187006,0.154883966,-0.156315982,-0.086881995,0.034735005,-0.071771018,-0.280997008,0.121435001,-0.153998002,0.055571999,-0.058611985,1.346685052,1.607898951,1.203995943,1.262225032,-0.196331009,-0.180766016,0.031097006,0.513862014,-1.669756055,-0.507417023,1.381407142,0.010270973,-0.003438995,-0.033379026,0.000000000,0.000000000
0.028116200,0.124231197,0.160374001,0.155249208,-0.156663597,-0.086748794,0.034649201,-0.071707599,-0.280617207,0.121413410,-0.154062390,0.056104802,-0.058612399,1.346685410,1.607882977,1.203998804,1.262225032,-0.196330607,-0.180765599,0.031097002,0.513860166,-1.669714451,-0.507419825,1.381407380,0.010272000,-0.003439000,-0.033379000,0.000000000,0.000000000
0.027942602,0.124193199,0.160321996,0.155435592,-0.156522200,-0.086562805,0.034562599,-0.071777396,-0.280656815,0.121405996,-0.154252008,0.055441596,-0.058615599,1.346689582,1.607842803,1.204002738,1.262223244,-0.196328998,-0.180762410,0.031096000,0.513853610,-1.669611812,-0.507428229,1.381410599,0.010273799,-0.003437200,-0.033376202,0.000000000,0.000000000
0.028301802,0.124080203,0.159963995,0.154533193,-0.155396000,-0.086642191,0.034668002,-0.071854800,-0.281418800,0.121411204,-0.154551402,0.053008400,-0.058624998,1.346697807,1.607758522,1.204010606,1.262216449,-0.196335793,-0.180752188,0.031094801,0.513845384,-1.669395924,-0.507441998,1.381416321,0.010280799,-0.003436000,-0.033371598,0.000000000,0.000000000
0.028029997,0.124162197,0.160252199,0.155094594,-0.155831009,-0.086972594,0.034580402,-0.071827203,-0.281205624,0.121421203,-0.154189005,0.053911991,-0.058635399,1.346704960,1.607699156,1.204014182,1.262207747,-0.196341798,-0.180744588,0.031089999,0.513839602,-1.669234753,-0.507450640,1.381420135,0.010289000,-0.003436000,-0.033368401,0.000000000,0.000000000
0.027868999,0.124283001,0.160690993,0.155474007,-0.156377003,-0.087066002,0.034439001,-0.071679004,-0.280544996,0.121432997,-0.153556004,0.056340002,-0.058644999,1.346709967,1.607666969,1.204015970,1.262199044,-0.196343005,-0.180740997,0.031082001,0.513836026,-1.669134021,-0.507457018,1.381422997,0.010295000,-0.003435000,-0.033367999,0.000000000,0.000000000
0.026039999,0.124181196,0.159357801,0.158931196,-0.156871796,-0.084751204,0.034465201,-0.071702003,-0.280764818,0.121446200,-0.153265804,0.055981997,-0.058655400,1.346715212,1.607640505,1.204017878,1.262190819,-0.196339399,-0.180738598,0.031074401,0.513833582,-1.669048548,-0.507461786,1.381427169,0.010300600,-0.003435400,-0.033366200,0.000000000,0.000000000
0.025844598,0.124078400,0.158975393,0.159290805,-0.156543195,-0.084030807,0.034516402,-0.071701005,-0.280828208,0.121432997,-0.153744206,0.054956403,-0.058679599,1.346728802,1.607565284,1.204026818,1.262177944,-0.196320191,-0.180731192,0.031057201,0.513831973,-1.668815851,-0.507469773,1.381441593,0.010317600,-0.003440000,-0.033355203,0.000000000,0.000000000
0.028400196,0.124056399,0.160456792,0.154148012,-0.155074999,-0.086481191,0.034472402,-0.071617797,-0.280516028,0.121357597,-0.155258790,0.053862002,-0.058686201,1.346730232,1.607541084,1.204030037,1.262175798,-0.196318194,-0.180730015,0.031054800,0.513831019,-1.668747544,-0.507472157,1.381446123,0.010321200,-0.003440000,-0.033350799,0.000000000,0.000000000
0.028383799,0.124150999,0.160672009,0.154202014,-0.155344799,-0.087134399,0.034440398,-0.071673997,-0.280643821,0.121389806,-0.154495195,0.054365002,-0.058691800,1.346730947,1.607518911,1.204032540,1.262173414,-0.196322799,-0.180729404,0.031052399,0.513831019,-1.668691039,-0.507474005,1.381450653,0.010324599,-0.003440000,-0.033347402,0.000000000,0.000000000
