joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.025105011,-0.001670048,0.005479902,-0.057695061,0.031019747,-0.016925111,-0.003059953,0.005204976,0.019355118,-0.002094731,-0.038585067,-0.033584889,-0.000969972,0.002220273,-0.003778934,-0.001722574,-0.002834201,-0.000795349,0.002159923,-0.002050027,-0.001710653,0.021436810,-0.001600385,-0.000858307,-0.001335004,0.000615011,-0.000220072,0.000000000,0.000000000
0.026455009,0.001624972,-0.030759722,0.013085082,0.001420081,-0.005264953,0.039540045,0.001315027,0.003865361,0.007310137,-0.019739941,-0.022175070,-0.000940077,0.052413344,-0.030404329,0.023785233,-0.154691935,-0.069875270,0.168655440,-0.167370304,-0.065334141,0.112944841,-0.011163950,-0.070583820,-0.192160264,-0.014375034,0.065165102,0.000000000,0.000000000
0.030320091,0.000900030,-0.030159950,0.017400086,-0.009059906,0.000119954,0.047964882,-0.005050004,-0.027649850,0.012704916,0.040639937,0.035380013,-0.000735000,0.063970685,-0.037094951,0.031009316,-0.191998482,-0.087419897,0.209460035,-0.208309948,-0.080715120,0.133043528,-0.013065338,-0.087860227,-0.239335001,-0.018375017,0.081444994,0.000000000,0.000000000
0.023414940,-0.000585057,0.000679865,-0.042030215,0.023439899,-0.003074855,0.004774984,-0.001130067,-0.012530386,0.004089810,0.042890012,0.023485161,-0.001244992,0.012019277,-0.010231137,0.007045269,-0.039523840,-0.018819794,0.041499361,-0.042894762,-0.016590953,0.037223101,-0.003086030,-0.017565489,-0.047649723,-0.003434974,0.016209856,0.000000000,0.000000000
0.042734947,-0.003244914,0.005354732,-0.099930167,0.067250058,-0.013010018,-0.002554990,0.007000007,0.011644512,-0.001800060,-0.027200207,-0.051230006,-0.002219994,-0.000661612,-0.004133582,0.000804663,-0.002434850,-0.002084672,-0.000340119,-0.002505071,-0.001235306,0.018164515,-0.001259148,0.000050664,0.000194996,0.000729994,0.000005029,0.000000000,0.000000000
0.040105078,-0.002804957,0.005799904,-0.094259903,0.061000139,-0.018005073,-0.003199931,0.004334934,0.004754961,-0.001390092,-0.028425083,-0.066265091,-0.002674945,-0.000357628,-0.004377961,0.000444055,-0.002926588,-0.002299994,-0.000374764,-0.002930034,-0.001899898,0.020217896,-0.001923740,0.000184774,0.000410003,0.001260010,0.000100024,0.000000000,0.000000000
-0.092875026,0.037089922,-0.022919849,0.056440383,-0.011710078,-0.017649867,-0.054859929,0.029144995,-0.028030574,-0.005449913,0.024720281,-0.020449981,-0.014124997,0.039580464,-0.036329031,0.033149123,-0.031051040,-0.257550180,-0.041299686,-0.292824954,-0.101999938,0.113201141,-0.020074844,0.013202429,0.056475006,0.120175011,-0.032324996,0.000000000,0.000000000
-0.138260052,0.042279996,-0.030830130,0.154444948,-0.061515346,0.001099892,-0.056545064,0.029450096,-0.019864738,-0.003944710,0.067155063,0.083529949,-0.012814999,0.039586425,-0.035995245,0.033313036,-0.029388070,-0.256369650,-0.041325018,-0.291235000,-0.100944936,0.107821822,-0.019080937,0.013211370,0.056315005,0.119464993,-0.032290071,0.000000000,0.000000000
-0.020559970,0.003110059,-0.001269951,0.037159771,-0.011944771,0.005795062,-0.004150067,0.002944842,0.007551163,0.000550039,0.021064654,0.061900076,-0.000530016,-0.000149012,-0.004822016,0.000646710,-0.000023842,-0.000179932,-0.000350177,-0.000120047,-0.000511110,0.013637543,-0.000675023,0.000414252,0.000350003,0.000404997,0.000285078,0.000000000,0.000000000
0.036885031,-0.005414896,0.008084998,-0.088340044,0.053380057,-0.012305006,0.000180025,0.006180070,0.004474819,-0.003190152,-0.061104819,-0.074399918,-0.000699982,0.000211596,-0.004914403,0.000435114,-0.000044703,0.000214577,-0.000004843,-0.000219978,-0.000905991,0.014418364,-0.001095235,0.000655651,0.000484986,0.000735006,0.000440050,0.000000000,0.000000000
0.015274994,-0.002294965,-0.002814829,-0.041615218,0.029515103,-0.010215119,-0.004519988,-0.000974908,-0.005830079,0.000084750,0.001120195,-0.048880093,-0.000904966,0.000524521,-0.004857779,0.000157952,0.000008941,0.000434741,0.000474975,-0.000169966,-0.001414120,0.014507771,-0.001630187,0.000980496,0.000514998,0.001129997,0.000694953,0.000000000,0.000000000
-0.023875013,0.004380010,-0.014419854,0.047440454,-0.015229732,0.001030043,-0.007684994,-0.005885027,-0.008674711,0.003494881,0.078964978,0.028249901,-0.001610070,0.000309944,-0.006335974,0.000399351,-0.000008941,-0.000170246,0.000574812,0.000040047,-0.002075732,0.018170476,-0.002445281,0.001597404,0.000480004,0.001590000,0.001185015,0.000000000,0.000000000
-0.018635020,0.004494935,-0.007405132,0.035554916,-0.007085130,0.009350106,-0.005234964,0.001920015,0.006590039,0.001470186,0.036405027,0.025034975,-0.002025068,-0.000178814,-0.006163120,0.000730157,-0.000250340,-0.000719726,0.000225008,0.000065006,-0.002108514,0.017446280,-0.002536178,0.001689792,0.000284996,0.001580006,0.001259986,0.000000000,0.000000000
0.011575036,-0.000829995,0.005000085,-0.031950325,0.029470026,0.004520081,-0.002580043,0.004534982,0.009389967,-0.001279823,-0.025760010,-0.026290026,-0.002694968,-0.000634789,-0.006011128,0.001141429,-0.000855327,-0.000829622,-0.000200048,-0.000290014,-0.002413988,0.017803907,-0.002884865,0.001677871,0.000020000,0.001724996,0.001330022,0.000000000,0.000000000
0.028069969,-0.001600012,0.011184812,-0.065464899,0.044649839,-0.011830218,0.000714976,0.003040023,-0.002180785,-0.002779998,-0.055135041,-0.074154973,-0.002489984,-0.000375509,-0.004777312,0.000891089,-0.001060963,-0.000309944,-0.000024959,-0.000524987,-0.002241135,0.015032291,-0.002683699,0.001290441,-0.000150001,0.001510000,0.001084991,0.000000000,0.000000000
0.001224969,0.002904981,0.007089972,-0.005910173,0.005954877,-0.019380078,-0.001814961,0.003805012,0.004030764,0.000215136,0.006385148,0.012335181,-0.001849979,0.000125170,-0.002694130,0.000324845,-0.001165271,0.000400096,0.000355020,-0.000770018,-0.001679361,0.010010600,-0.001944602,0.000569224,-0.000300002,0.001010002,0.000539981,0.000000000,0.000000000
-0.022354955,0.005250052,-0.000534952,0.042995065,-0.019474700,-0.011480041,-0.005370006,0.004570000,0.010734797,0.002864935,0.065435097,0.084124967,-0.002249889,0.000056624,-0.002494454,0.000375509,-0.001764297,0.000435114,0.000295043,-0.001155026,-0.001680851,0.010615587,-0.001920760,0.000259280,-0.000404997,0.000964996,0.000345055,0.000000000,0.000000000
-0.019059982,0.002944842,-0.007380173,0.032199919,0.000689551,0.014435127,-0.003025029,0.002794899,-0.001120567,0.001224875,0.029329956,0.002895016,-0.002584979,-0.000104308,-0.002154708,0.000476837,-0.002434850,0.000460073,0.000145659,-0.001545064,-0.001351535,0.010839105,-0.001600385,-0.000184774,-0.000429992,0.000760000,0.000065006,0.000000000,0.000000000
0.010364922,-0.001705065,0.001255050,-0.028679892,0.032444671,0.013655052,-0.000070035,0.001375005,-0.013289601,-0.000959821,-0.021909922,-0.065619960,-0.002465118,-0.000277162,-0.001794100,0.000602007,-0.002554059,0.000389665,0.000014529,-0.001550000,-0.000953674,0.009852648,-0.001114607,-0.000497699,-0.000360003,0.000500004,-0.000124983,0.000000000,0.000000000
0.037584968,-0.002799928,0.017334893,-0.080254674,0.043240190,-0.014505163,0.000630040,0.002299994,-0.015800446,-0.001705065,-0.045345351,-0.067440137,-0.002035033,-0.000646710,-0.001630187,0.000858307,-0.002211332,-0.000010058,-0.000150502,-0.001134910,-0.000703335,0.008276105,-0.000800192,-0.000685453,-0.000295008,0.000314997,-0.000269990,0.000000000,0.000000000
0.013645086,0.003574975,0.009464845,-0.028334931,0.009755045,-0.019009784,-0.003904942,0.002004951,0.002650172,0.000235066,0.007060170,-0.012930017,-0.002124999,-0.001060963,-0.001877546,0.001186132,-0.002351403,-0.000384822,-0.000284612,-0.001040008,-0.000804663,0.008746982,-0.000889599,-0.000864267,-0.000304997,0.000374997,-0.000315066,0.000000000,0.000000000
