root_ori6_0,root_ori6_1,root_ori6_2,root_ori6_3,root_ori6_4,root_ori6_5
0.049522042,0.998713672,-0.998704016,0.049643874,-0.011742892,-0.010320841
0.048393190,0.998769581,-0.998753965,0.048519433,-0.012205080,-0.010267794
0.048393190,0.998769581,-0.998753965,0.048519433,-0.012205080,-0.010267794
0.047407031,0.998815954,-0.998797953,0.047537029,-0.012465941,-0.010345019
0.047407031,0.998815954,-0.998797953,0.047537029,-0.012465941,-0.010345019
0.046315074,0.998866081,-0.998849034,0.046446383,-0.012471925,-0.010453808
0.045061529,0.998926282,-0.998901129,0.045194030,-0.012884722,-0.010185032
0.045061529,0.998926282,-0.998901129,0.045194030,-0.012884722,-0.010185032
0.043731987,0.998987377,-0.998950660,0.043869495,-0.013605936,-0.009981046
0.042688310,0.999025285,-0.998987615,0.042841077,-0.014195484,-0.010636888
0.042688310,0.999025285,-0.998987615,0.042841077,-0.014195484,-0.010636888
0.041815579,0.999054074,-0.999014378,0.041986167,-0.014895195,-0.011329534
0.041815579,0.999054074,-0.999014378,0.041986167,-0.014895195,-0.011329534
0.041073620,0.999086380,-0.999045253,0.041242301,-0.014884133,-0.011206867
0.041073620,0.999086380,-0.999045253,0.041242301,-0.014884133,-0.011206867
0.040657759,0.999103785,-0.999062777,0.040825486,-0.014845290,-0.011172503
0.040062129,0.999129832,-0.999079049,0.040233195,-0.015362959,-0.010991975
0.040062129,0.999129832,-0.999079049,0.040233195,-0.015362959,-0.010991975
0.039689541,0.999147832,-0.999091089,0.039858758,-0.015552988,-0.010725247
0.039689541,0.999147832,-0.999091089,0.039858758,-0.015552988,-0.010725247
0.039129794,0.999168098,-0.999107301,0.039305508,-0.015924292,-0.010875739
0.038503289,0.999201477,-0.999114215,0.038677216,-0.016982732,-0.010032282
0.038503289,0.999201477,-0.999114215,0.038677216,-0.016982732,-0.010032282
0.038101912,0.999217451,-0.999120295,0.038280308,-0.017518466,-0.009960432
0.038101912,0.999217451,-0.999120295,0.038280308,-0.017518466,-0.009960432
0.037541270,0.999245822,-0.999122083,0.037718058,-0.018600725,-0.009245982
0.037159026,0.999266684,-0.999124348,0.037328720,-0.019237339,-0.008538763
0.037159026,0.999266684,-0.999124348,0.037328720,-0.019237339,-0.008538763
0.036967278,0.999274015,-0.999115348,0.037143588,-0.020054989,-0.008492152
0.036967278,0.999274015,-0.999115348,0.037143588,-0.020054989,-0.008492152
0.036931276,0.999276757,-0.999096632,0.037112355,-0.021026885,-0.008289495
0.037153542,0.999270856,-0.999067247,0.037337005,-0.022005077,-0.007986354
0.037153542,0.999270856,-0.999067247,0.037337005,-0.022005077,-0.007986354
0.037732780,0.999247670,-0.999027014,0.037926316,-0.022831278,-0.008104460
0.037732780,0.999247670,-0.999027014,0.037926316,-0.022831278,-0.008104460
0.038521647,0.999214590,-0.998975933,0.038730204,-0.023734234,-0.008392327
0.039357126,0.999182284,-0.998922646,0.039571881,-0.024590191,-0.008309743
0.039357126,0.999182284,-0.998922646,0.039571881,-0.024590191,-0.008309743
0.040442646,0.999143064,-0.998876035,0.040646851,-0.024721986,-0.007814508
0.040442646,0.999143064,-0.998876035,0.040646851,-0.024721986,-0.007814508
0.041600287,0.999099553,-0.998821557,0.041794538,-0.024999598,-0.007298116
0.043021500,0.999041140,-0.998746216,0.043214262,-0.025597448,-0.007025913
0.043021500,0.999041140,-0.998746216,0.043214262,-0.025597448,-0.007025913
0.044481039,0.998977542,-0.998671174,0.044675529,-0.026029941,-0.006939046
0.044481039,0.998977542,-0.998671174,0.044675529,-0.026029941,-0.006939046
0.046208858,0.998902261,-0.998570263,0.046398044,-0.026876707,-0.006458563
0.047590792,0.998837113,-0.998485923,0.047784448,-0.027586538,-0.006404251
0.047590792,0.998837113,-0.998485923,0.047784448,-0.027586538,-0.006404251
0.049011648,0.998766541,-0.998398781,0.049215794,-0.028245715,-0.006576081
0.050125360,0.998712301,-0.998328805,0.050329030,-0.028762912,-0.006399583
0.050740719,0.998682141,-0.998286128,0.050943255,-0.029160038,-0.006244185
0.051895738,0.998621166,-0.998199046,0.052109480,-0.030092567,-0.006362804
0.051895738,0.998621166,-0.998199046,0.052109480,-0.030092567,-0.006362804
0.052877307,0.998568952,-0.998127997,0.053097546,-0.030734366,-0.006394499
0.053675175,0.998526275,-0.998066485,0.053899169,-0.031341661,-0.006345043
0.053675175,0.998526275,-0.998066485,0.053899169,-0.031341661,-0.006345043
0.054072976,0.998504162,-0.998026133,0.054302633,-0.031933978,-0.006369225
0.054072976,0.998504162,-0.998026133,0.054302633,-0.031933978,-0.006369225
0.054377973,0.998488009,-0.997998416,0.054609060,-0.032288909,-0.006318134
0.054700553,0.998469591,-0.997960210,0.054938078,-0.032914672,-0.006354777
0.054700553,0.998469591,-0.997960210,0.054938078,-0.032914672,-0.006354777
0.054760575,0.998466790,-0.997944891,0.054998398,-0.033276644,-0.006274044
0.054760575,0.998466790,-0.997944891,0.054998398,-0.033276644,-0.006274044
0.054620504,0.998475313,-0.997948766,0.054855466,-0.033389717,-0.006161563
0.054932594,0.998458147,-0.997926950,0.055168331,-0.033530131,-0.006145188
0.054932594,0.998458147,-0.997926950,0.055168331,-0.033530131,-0.006145188
0.054390728,0.998487592,-0.997943878,0.054630399,-0.033908196,-0.006182411
0.054390728,0.998487592,-0.997943878,0.054630399,-0.033908196,-0.006182411
0.054274619,0.998493850,-0.997949660,0.054514468,-0.033924408,-0.006186096
0.054274619,0.998493850,-0.997949660,0.054514468,-0.033924408,-0.006186096
0.054478347,0.998483121,-0.997939885,0.054716527,-0.033886611,-0.006139742
0.054044306,0.998506904,-0.997958660,0.054282904,-0.034030020,-0.006126161
0.054044306,0.998506904,-0.997958660,0.054282904,-0.034030020,-0.006126161
0.053945720,0.998513937,-0.997968674,0.054176092,-0.033890627,-0.005915580
0.053945720,0.998513937,-0.997968674,0.054176092,-0.033890627,-0.005915580
0.053683400,0.998528838,-0.997987628,0.053909540,-0.033747420,-0.005826864
0.053220391,0.998552084,-0.998021007,0.053451955,-0.033492547,-0.006056410
0.053220391,0.998552084,-0.998021007,0.053451955,-0.033492547,-0.006056410
0.053029239,0.998560727,-0.998039663,0.053265870,-0.033238377,-0.006273368
0.052696228,0.998578370,-0.998057187,0.052933037,-0.033242345,-0.006283719
0.052696228,0.998578370,-0.998057187,0.052933037,-0.033242345,-0.006283719
0.052205384,0.998601556,-0.998080850,0.052453458,-0.033307996,-0.006617557
0.052205384,0.998601556,-0.998080850,0.052453458,-0.033307996,-0.006617557
