smpl_joint_local_0_x,smpl_joint_local_0_y,smpl_joint_local_0_z,smpl_joint_local_1_x,smpl_joint_local_1_y,smpl_joint_local_1_z,smpl_joint_local_2_x,smpl_joint_local_2_y,smpl_joint_local_2_z,smpl_joint_local_3_x,smpl_joint_local_3_y,smpl_joint_local_3_z,smpl_joint_local_4_x,smpl_joint_local_4_y,smpl_joint_local_4_z,smpl_joint_local_5_x,smpl_joint_local_5_y,smpl_joint_local_5_z,smpl_joint_local_6_x,smpl_joint_local_6_y,smpl_joint_local_6_z,smpl_joint_local_7_x,smpl_joint_local_7_y,smpl_joint_local_7_z,smpl_joint_local_8_x,smpl_joint_local_8_y,smpl_joint_local_8_z,smpl_joint_local_9_x,smpl_joint_local_9_y,smpl_joint_local_9_z,smpl_joint_local_10_x,smpl_joint_local_10_y,smpl_joint_local_10_z,smpl_joint_local_11_x,smpl_joint_local_11_y,smpl_joint_local_11_z,smpl_joint_local_12_x,smpl_joint_local_12_y,smpl_joint_local_12_z,smpl_joint_local_13_x,smpl_joint_local_13_y,smpl_joint_local_13_z,smpl_joint_local_14_x,smpl_joint_local_14_y,smpl_joint_local_14_z,smpl_joint_local_15_x,smpl_joint_local_15_y,smpl_joint_local_15_z,smpl_joint_local_16_x,smpl_joint_local_16_y,smpl_joint_local_16_z,smpl_joint_local_17_x,smpl_joint_local_17_y,smpl_joint_local_17_z,smpl_joint_local_18_x,smpl_joint_local_18_y,smpl_joint_local_18_z,smpl_joint_local_19_x,smpl_joint_local_19_y,smpl_joint_local_19_z,smpl_joint_local_20_x,smpl_joint_local_20_y,smpl_joint_local_20_z,smpl_joint_local_21_x,smpl_joint_local_21_y,smpl_joint_local_21_z,smpl_joint_local_22_x,smpl_joint_local_22_y,smpl_joint_local_22_z,smpl_joint_local_23_x,smpl_joint_local_23_y,smpl_joint_local_23_z
0.350809991,-0.017944425,0.015880829,0.324808806,0.040244848,-0.076882586,0.329559624,-0.081211805,-0.088027105,0.323192358,-0.020707160,0.125771374,0.345044404,0.120058894,-0.450719476,0.350328118,-0.129503012,-0.449680686,0.326281518,-0.014475614,0.257913053,0.306009412,0.105414242,-0.855222583,0.329411209,-0.115574926,-0.860425055,0.344445199,-0.024567038,0.314784378,0.409283042,0.164807856,-0.928563774,0.432620883,-0.175670892,-0.929832876,0.323731959,-0.035450250,0.481757760,0.341743141,0.022619516,0.399538785,0.337447882,-0.071543157,0.400292456,0.251547456,-0.024183020,0.628220677,0.336095065,0.132888824,0.474360049,0.325282484,-0.168532059,0.463479966,0.264998555,0.389497876,0.500505805,0.274062097,-0.435987353,0.500870526,0.308765620,0.630488515,0.564147651,0.277587950,-0.683385074,0.535094976,0.369976968,0.709198356,0.532038033,0.330483019,-0.768954873,0.508246422
0.350807220,-0.018029451,0.015845455,0.324806035,0.040159881,-0.076917976,0.329556823,-0.081296861,-0.088062488,0.323189616,-0.020792127,0.125735998,0.345070064,0.120058715,-0.450735271,0.350355506,-0.129458383,-0.449731648,0.326246142,-0.014632881,0.257881820,0.306225538,0.105600059,-0.855263412,0.329525173,-0.115431517,-0.860477030,0.344398528,-0.024767101,0.314749181,0.409487844,0.164990246,-0.928623497,0.432799160,-0.175436407,-0.929868042,0.323711097,-0.035789549,0.481716633,0.341716290,0.022347748,0.399544030,0.337409198,-0.071815014,0.400218457,0.251516640,-0.024699479,0.628188133,0.336094528,0.132554293,0.474459827,0.325253367,-0.168857381,0.463325590,0.265118480,0.389154017,0.501021326,0.273914695,-0.436326027,0.500458360,0.309196234,0.630028427,0.564888835,0.277277410,-0.683748484,0.534519792,0.370477170,0.708724141,0.532876968,0.330094576,-0.769388020,0.507739604
0.350799680,-0.018102050,0.015929539,0.324798495,0.040087312,-0.076833889,0.329549283,-0.081369430,-0.087978400,0.323182106,-0.020864725,0.125820085,0.345105112,0.119876742,-0.450672239,0.350526661,-0.129527867,-0.449637681,0.326201707,-0.014710993,0.257967025,0.306511700,0.105394691,-0.855223536,0.330149651,-0.115502954,-0.860405922,0.344324440,-0.024876207,0.314838320,0.409797728,0.164727658,-0.928596377,0.433473170,-0.175438046,-0.929783583,0.323641568,-0.035944909,0.481803328,0.341642559,0.022215456,0.399646133,0.337338984,-0.071947604,0.400294960,0.251341164,-0.024950132,0.628229797,0.335982263,0.132413596,0.474571258,0.325182915,-0.168995708,0.463393331,0.264978826,0.389016330,0.501031399,0.273770511,-0.436494112,0.500208318,0.309040904,0.629891932,0.564904690,0.277051985,-0.683949888,0.534035444,0.370556742,0.708331048,0.532714248,0.329870582,-0.769599080,0.507289588
0.350799680,-0.018102050,0.015929539,0.324798495,0.040087312,-0.076833889,0.329549283,-0.081369430,-0.087978400,0.323182106,-0.020864725,0.125820085,0.345403731,0.120107204,-0.450606585,0.350526661,-0.129527867,-0.449637681,0.326201707,-0.014710993,0.257967025,0.307274997,0.105880588,-0.855210960,0.330149651,-0.115502954,-0.860405922,0.344324440,-0.024876207,0.314838320,0.410625339,0.165151924,-0.928543150,0.433293164,-0.175364673,-0.930114031,0.323641568,-0.035944909,0.481803328,0.341642559,0.022215456,0.399646133,0.337338984,-0.071947604,0.400294960,0.251119375,-0.024922222,0.628117979,0.335990816,0.132383436,0.474616319,0.325095892,-0.168997794,0.463373363,0.264827788,0.388980806,0.500696838,0.273615986,-0.436493814,0.500110865,0.308725893,0.629815340,0.564837635,0.276847124,-0.683925748,0.534116209,0.370790660,0.707546890,0.531991303,0.329779565,-0.769525945,0.507437587
0.350789309,-0.018125325,0.016131032,0.324788123,0.040064007,-0.076632395,0.329538941,-0.081392735,-0.087776899,0.323171675,-0.020888060,0.126021564,0.345561802,0.120305747,-0.450348228,0.350886941,-0.129242063,-0.449455470,0.326148450,-0.014817357,0.258173317,0.307894945,0.106387436,-0.855006635,0.330978811,-0.114910901,-0.860236108,0.344220310,-0.025074959,0.315044194,0.411284715,0.165636957,-0.928300977,0.434212536,-0.174727321,-0.929849446,0.323533177,-0.036339521,0.481995493,0.341552138,0.021914810,0.399908930,0.337220162,-0.072247714,0.400443733,0.250877559,-0.025370181,0.628247917,0.335876465,0.131995350,0.475005686,0.324966460,-0.169380233,0.463393062,0.264595330,0.388553500,0.501149416,0.273291022,-0.436928213,0.499472290,0.308545917,0.629366159,0.565336466,0.276304364,-0.684419155,0.533066154,0.370885074,0.706832767,0.532383919,0.329236031,-0.769991159,0.506295800
0.350789309,-0.018125325,0.016131032,0.324788123,0.040064007,-0.076632395,0.329538941,-0.081392735,-0.087776899,0.323171675,-0.020888060,0.126021564,0.345561802,0.120305747,-0.450348228,0.351182878,-0.129063040,-0.449461520,0.326148450,-0.014817357,0.258173317,0.307894945,0.106387436,-0.855006635,0.331545293,-0.114570677,-0.860249460,0.344220310,-0.025074959,0.315044194,0.411284715,0.165636957,-0.928300977,0.434919357,-0.174425960,-0.929620743,0.323533177,-0.036339521,0.481995493,0.341552138,0.021914810,0.399908930,0.337220162,-0.072247714,0.400443733,0.250877559,-0.025370181,0.628247917,0.335876465,0.131995350,0.475005686,0.324966460,-0.169380233,0.463393062,0.264520437,0.388540566,0.501072288,0.273291022,-0.436928213,0.499472290,0.308495998,0.629438877,0.564919591,0.276304364,-0.684419155,0.533066154,0.370931208,0.706861556,0.532045901,0.329236031,-0.769991159,0.506295800
0.350786567,-0.018100291,0.016218597,0.324785382,0.040089011,-0.076544814,0.329536200,-0.081367701,-0.087689333,0.323168933,-0.020862997,0.126109138,0.345752001,0.120573550,-0.450197637,0.351022780,-0.128889933,-0.449402809,0.326100409,-0.014861494,0.258265018,0.308629572,0.106961399,-0.854916692,0.331875831,-0.114358678,-0.860212564,0.344143599,-0.025151849,0.315139115,0.412047267,0.166168123,-0.928206205,0.435260415,-0.174266160,-0.929523110,0.323417783,-0.036511093,0.482079178,0.341465354,0.021788329,0.400030941,0.337116152,-0.072373658,0.400509298,0.250595003,-0.025588930,0.628251970,0.335811436,0.131853819,0.475151360,0.324879795,-0.169542670,0.463405669,0.264476418,0.388412207,0.501145720,0.272940367,-0.437102377,0.499015570,0.308631867,0.629295707,0.564924836,0.275637150,-0.684623063,0.532416463,0.371091455,0.706628859,0.531887174,0.328636527,-0.770137668,0.505596578
0.350771219,-0.018305957,0.016318789,0.324770033,0.039883345,-0.076444648,0.329520911,-0.081573367,-0.087589145,0.323153555,-0.021068633,0.126209319,0.345960230,0.120378941,-0.450082511,0.350964069,-0.129074633,-0.449308008,0.326063037,-0.015092909,0.258366883,0.309201151,0.106745481,-0.854834080,0.332343638,-0.114635855,-0.860145271,0.344095111,-0.025373638,0.315246195,0.412652612,0.165870875,-0.928141415,0.435689718,-0.174616426,-0.929449916,0.323351800,-0.036743551,0.482183427,0.341412455,0.021560490,0.400141269,0.337055176,-0.072601169,0.400612146,0.250404269,-0.025878549,0.628298283,0.335837960,0.131637245,0.475251079,0.324805319,-0.169766322,0.463511854,0.264607728,0.388244629,0.501046598,0.272601128,-0.437310100,0.498852879,0.308928430,0.629144430,0.564649582,0.274971485,-0.684848845,0.532144427,0.371423155,0.706390917,0.531475723,0.327993870,-0.770341396,0.505300641
0.350771219,-0.018305957,0.016318789,0.324770033,0.039883345,-0.076444648,0.329520911,-0.081573367,-0.087589145,0.323153555,-0.021068633,0.126209319,0.345960230,0.120378941,-0.450082511,0.350964069,-0.129074633,-0.449308008,0.326063037,-0.015092909,0.258366883,0.309201151,0.106745481,-0.854834080,0.332343638,-0.114635855,-0.860145271,0.344095111,-0.025373638,0.315246195,0.412652612,0.165870875,-0.928141415,0.435638040,-0.174419314,-0.929696798,0.323351800,-0.036743551,0.482183427,0.341412455,0.021560490,0.400141269,0.337055176,-0.072601169,0.400612146,0.250404269,-0.025878549,0.628298283,0.335837960,0.131637245,0.475251079,0.324805319,-0.169766322,0.463511854,0.264607728,0.388244629,0.501046598,0.272601128,-0.437310100,0.498852879,0.308928430,0.629144430,0.564649582,0.274971485,-0.684848845,0.532144427,0.371488243,0.706377625,0.531567574,0.327974975,-0.770328760,0.505223274
0.350769222,-0.018402249,0.016252946,0.324768007,0.039787024,-0.076510474,0.329518825,-0.081669688,-0.087654985,0.323151618,-0.021164984,0.126143485,0.346037149,0.120336115,-0.450132310,0.351007104,-0.129156083,-0.449373037,0.326099843,-0.015247554,0.258302808,0.309360921,0.106854588,-0.854896426,0.332378000,-0.114607796,-0.860206008,0.344120592,-0.025534332,0.315184623,0.412800610,0.165961146,-0.928235590,0.435719311,-0.174438268,-0.929647386,0.323413730,-0.036885768,0.482127637,0.341479361,0.021405786,0.400077701,0.337081283,-0.072753996,0.400555015,0.250472188,-0.026035190,0.628246546,0.335904777,0.131475210,0.475198209,0.324802190,-0.169881403,0.463507295,0.264784336,0.388119906,0.500926256,0.272478163,-0.437404215,0.498830110,0.309164047,0.629059196,0.564337790,0.274483025,-0.684944153,0.532136619,0.371701330,0.706339598,0.531323731,0.327415705,-0.770482600,0.505261183
