f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
0.138120,0.106040,0.661374,0.005760,-0.170650,-0.138295,-0.386819,-0.931414,-2.700907,1.381809,-0.892169,-0.662239,-0.016790,0.083825,0.114110,-0.079004,0.092247,-0.112005,0.198010,0.093740,0.039835,-0.097850,-0.140139,0.037870,-0.216105,-0.099335,0.081690,0.000000,0.000000
0.157495,0.077525,0.598857,0.005775,-0.153145,-0.085775,-0.273266,-1.037872,-2.684726,1.505409,-0.911467,-0.697141,-0.038500,0.086775,0.094155,-0.068385,0.070894,-0.131575,0.173025,0.057685,0.095320,-0.059390,-0.241395,0.020757,-0.188900,-0.056170,0.050415,0.000000,0.000000
0.195215,0.052610,0.517736,0.007340,-0.133620,0.021740,-0.084420,-1.006181,-2.398112,1.422145,-0.781601,-0.526901,-0.060085,0.099505,0.063390,-0.029095,0.053063,-0.116735,0.053095,-0.000105,0.143860,-0.019065,-0.317935,-0.000632,-0.128660,-0.102910,0.052450,0.000000,0.000000
0.194925,0.021745,0.464544,0.007725,-0.111080,0.088230,0.038900,-0.894173,-1.971990,1.292650,-0.566629,-0.363919,-0.061895,0.119505,0.032205,0.027090,0.022158,-0.075635,0.025055,0.003810,0.174610,0.009335,-0.330979,-0.006598,-0.039490,-0.020835,0.047975,0.000000,0.000000
0.158725,-0.003860,0.451694,0.005950,-0.098280,0.076970,0.088480,-0.757285,-1.545334,1.143795,-0.336841,-0.273440,-0.044380,0.127660,-0.004010,0.087100,-0.000778,-0.022210,0.104990,0.055660,0.178340,0.034995,-0.286190,0.018987,0.043455,0.149405,0.031520,0.000000,0.000000
0.148280,0.008295,0.466310,0.004715,-0.131460,-0.006269,0.188655,-0.622071,-1.227907,0.879562,-0.131290,-0.162410,-0.019280,0.119600,-0.039410,0.113286,-0.015283,0.014510,0.106500,0.030880,0.204675,0.048240,-0.218530,0.022441,0.061605,0.134866,0.019830,0.000000,0.000000
0.148285,0.023025,0.458366,0.004560,-0.158140,-0.056525,0.327680,-0.502421,-1.000556,0.509161,0.092590,0.006374,0.004890,0.086475,-0.086121,0.108091,-0.012347,0.029570,0.061820,-0.002885,0.233170,0.054800,-0.149636,0.021741,0.059550,0.073420,0.017725,0.000000,0.000000
0.138515,0.005140,0.388226,0.004405,-0.129650,0.015670,0.468694,-0.397095,-0.805275,0.080167,0.365144,0.241549,0.021940,0.052545,-0.119400,0.086569,-0.033984,0.017225,0.020975,0.027380,0.242300,0.058700,-0.107335,0.025722,0.098885,0.124680,0.024850,0.000000,0.000000
0.131395,0.021585,0.318565,0.004900,-0.110265,0.057355,0.593629,-0.172651,-0.522076,-0.486289,0.282310,0.327545,0.039815,0.028760,-0.145300,0.070995,-0.051290,0.000905,0.004210,0.039735,0.240285,0.062935,-0.087255,0.035635,0.148945,0.209690,0.035665,0.000000,0.000000
0.128410,0.080470,0.267715,0.006455,-0.114340,0.028920,0.687865,0.125534,-0.209155,-1.069459,-0.081884,0.190696,0.058635,0.001625,-0.178975,0.061115,-0.035110,0.002450,0.003095,0.018245,0.219720,0.071865,-0.099410,0.061399,0.194375,0.287610,0.050005,0.000000,0.000000
0.119115,0.151625,0.208915,0.008040,-0.118100,-0.023890,0.755169,0.312080,-0.104100,-1.390108,-0.155170,-0.161734,0.061055,-0.011580,-0.177420,0.018579,-0.055376,0.033290,-0.079770,-0.002815,0.178010,0.068930,-0.142540,0.079790,0.256520,0.374364,0.082770,0.000000,0.000000
0.116360,0.195140,0.154901,0.008910,-0.116200,-0.054075,0.800210,0.381945,-0.092911,-1.497389,-0.066405,-0.382255,0.058060,-0.025025,-0.176950,-0.013980,-0.072926,0.066055,-0.120015,-0.008020,0.118310,0.062085,-0.186225,0.098413,0.255670,0.344831,0.093710,0.000000,0.000000
0.130275,0.182125,0.116975,0.008870,-0.106050,-0.025445,0.842296,0.375820,-0.025891,-1.544436,-0.015355,-0.186551,0.058020,-0.039615,-0.206975,0.007615,-0.069168,0.067770,-0.012120,0.010040,0.056455,0.046230,-0.189785,0.111833,0.142595,0.129531,0.050910,0.000000,0.000000
0.132825,0.190235,0.074869,0.009255,-0.092295,-0.011360,0.910709,0.387765,-0.011355,-1.659539,0.080495,-0.032305,0.069095,-0.055685,-0.226735,0.011925,-0.061429,0.020410,0.054850,0.001110,-0.004315,0.009385,-0.098040,0.110194,-0.035474,-0.072555,0.007065,0.000000,0.000000
