f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
-0.184195,-0.072007,0.147100,0.117950,-0.133757,0.068424,-0.422327,-0.078992,-0.108713,0.567015,-0.261544,0.015252,-0.115554,-0.008281,0.200406,-0.436117,1.075872,-0.057505,0.119097,-0.017614,0.040605,-0.058311,0.197192,1.066105,0.034085,-0.118693,-0.096534,0.000000,0.000000
-0.181304,-0.072233,0.156069,0.118052,-0.135715,0.069679,-0.419964,-0.092775,-0.135794,0.588041,-0.266056,0.010751,-0.116202,-0.005782,0.199943,-0.433890,1.075741,-0.057485,0.121814,-0.016189,0.044185,-0.057320,0.191834,1.066774,0.035589,-0.114613,-0.096057,0.000000,0.000000
-0.178264,-0.071675,0.165752,0.118139,-0.139015,0.068173,-0.414780,-0.103875,-0.157830,0.602198,-0.266795,0.008755,-0.116325,-0.003497,0.198830,-0.431585,1.075261,-0.056925,0.123357,-0.016379,0.048792,-0.056382,0.188451,1.067003,0.036550,-0.113299,-0.095741,0.000000,0.000000
-0.175373,-0.071312,0.174404,0.118234,-0.142041,0.067418,-0.406857,-0.112872,-0.175816,0.608407,-0.262352,0.011006,-0.116006,-0.002323,0.196498,-0.429566,1.075247,-0.056302,0.124287,-0.016304,0.053512,-0.055128,0.185849,1.067644,0.037971,-0.111676,-0.095348,0.000000,0.000000
-0.172723,-0.071470,0.181281,0.118315,-0.144201,0.068800,-0.396033,-0.119758,-0.190041,0.605404,-0.252190,0.018417,-0.115447,-0.001395,0.194054,-0.428123,1.073901,-0.056236,0.124196,-0.015284,0.058484,-0.054034,0.184157,1.068032,0.040505,-0.108311,-0.094747,0.000000,0.000000
-0.170117,-0.070449,0.187146,0.118430,-0.146451,0.069712,-0.383112,-0.119778,-0.196699,0.588956,-0.251060,0.024108,-0.114414,-0.001173,0.190686,-0.426727,1.073196,-0.056266,0.124455,-0.014715,0.063123,-0.052611,0.182358,1.069069,0.043929,-0.103289,-0.093921,0.000000,0.000000
-0.167587,-0.068251,0.191990,0.118573,-0.148775,0.069957,-0.368518,-0.114737,-0.198407,0.562626,-0.255465,0.026045,-0.113102,-0.001330,0.186895,-0.425678,1.072497,-0.056138,0.124320,-0.014554,0.067273,-0.051159,0.180181,1.070488,0.048280,-0.096807,-0.092747,0.000000,0.000000
-0.165352,-0.064384,0.195503,0.118752,-0.151175,0.068757,-0.352905,-0.107295,-0.200863,0.533351,-0.257267,0.017638,-0.111972,-0.001636,0.183589,-0.425983,1.070981,-0.054934,0.121264,-0.014828,0.070244,-0.049853,0.176657,1.072261,0.054190,-0.088314,-0.090611,0.000000,0.000000
-0.162933,-0.060445,0.198186,0.118929,-0.153423,0.067794,-0.336510,-0.099459,-0.202123,0.502730,-0.258121,0.010755,-0.110780,-0.002331,0.179817,-0.426237,1.069580,-0.053496,0.119519,-0.014875,0.072005,-0.048676,0.172732,1.074424,0.058507,-0.083014,-0.088999,0.000000,0.000000
-0.160141,-0.057099,0.200182,0.119107,-0.155417,0.067739,-0.319213,-0.092262,-0.201899,0.471574,-0.257881,0.010176,-0.109651,-0.003220,0.175310,-0.425679,1.068214,-0.052224,0.120780,-0.014426,0.072502,-0.048004,0.169065,1.076734,0.059893,-0.083133,-0.088574,0.000000,0.000000
-0.157620,-0.052836,0.201181,0.119300,-0.157115,0.067340,-0.300081,-0.083949,-0.202578,0.436349,-0.254901,0.009463,-0.108016,-0.004558,0.170748,-0.425760,1.067123,-0.052679,0.121713,-0.014830,0.071833,-0.048300,0.168810,1.078832,0.057088,-0.085916,-0.088716,0.000000,0.000000
-0.155166,-0.047830,0.201465,0.119489,-0.158596,0.066595,-0.279359,-0.074773,-0.204195,0.397819,-0.249276,0.008320,-0.106071,-0.006140,0.166270,-0.426596,1.065947,-0.054053,0.121664,-0.015960,0.070334,-0.049531,0.171743,1.080236,0.051472,-0.090465,-0.089415,0.000000,0.000000
-0.152230,-0.042248,0.201559,0.119691,-0.160052,0.065478,-0.257236,-0.065178,-0.207116,0.357199,-0.240803,0.005983,-0.103945,-0.008145,0.161663,-0.428728,1.064667,-0.054142,0.118284,-0.017687,0.068624,-0.051718,0.177697,1.079784,0.045484,-0.094962,-0.090827,0.000000,0.000000
-0.149347,-0.036666,0.201486,0.119880,-0.161415,0.064071,-0.235706,-0.055798,-0.210186,0.317510,-0.230764,0.003393,-0.102282,-0.010118,0.157095,-0.431769,1.063095,-0.054339,0.115883,-0.019357,0.066595,-0.054395,0.185608,1.078616,0.040225,-0.100967,-0.092785,0.000000,0.000000
-0.146712,-0.031338,0.201290,0.120053,-0.162678,0.062384,-0.215687,-0.046952,-0.212960,0.280271,-0.219624,0.000954,-0.101398,-0.011817,0.152929,-0.435693,1.061058,-0.055086,0.116273,-0.020691,0.064147,-0.056989,0.195027,1.077220,0.036381,-0.109064,-0.095253,0.000000,0.000000
-0.144142,-0.026105,0.201176,0.120186,-0.163597,0.060464,-0.197031,-0.038511,-0.215018,0.245564,-0.207277,-0.000589,-0.100264,-0.014051,0.149899,-0.440710,1.060290,-0.056495,0.123658,-0.023781,0.061842,-0.059308,0.204555,1.074982,0.034320,-0.114144,-0.097641,0.000000,0.000000
-0.141752,-0.021140,0.201304,0.120296,-0.164316,0.058447,-0.180096,-0.030653,-0.216333,0.213791,-0.194485,-0.001541,-0.098851,-0.016260,0.148410,-0.446065,1.059999,-0.058554,0.133871,-0.027357,0.059649,-0.061033,0.213889,1.072406,0.033605,-0.117037,-0.100034,0.000000,0.000000
-0.139777,-0.016754,0.202170,0.120401,-0.165216,0.056624,-0.165444,-0.023641,-0.216762,0.185329,-0.182436,-0.002654,-0.096916,-0.017957,0.148043,-0.450078,1.059771,-0.061884,0.137330,-0.028389,0.057749,-0.062201,0.222425,1.070562,0.033476,-0.119075,-0.102683,0.000000,0.000000
-0.138678,-0.013429,0.203175,0.120456,-0.165726,0.055051,-0.154521,-0.018252,-0.216459,0.162933,-0.172784,-0.003755,-0.095072,-0.019237,0.148432,-0.452191,1.059807,-0.062882,0.137427,-0.027843,0.056007,-0.063114,0.230202,1.069105,0.033718,-0.122464,-0.105038,0.000000,0.000000
-0.138704,-0.011461,0.204093,0.120447,-0.165607,0.053802,-0.148035,-0.014771,-0.215530,0.147907,-0.166423,-0.004694,-0.093532,-0.020154,0.149532,-0.451948,1.060238,-0.059940,0.134637,-0.025812,0.054228,-0.063641,0.236903,1.068243,0.034140,-0.128473,-0.106879,0.000000,0.000000
-0.139009,-0.010099,0.204825,0.120462,-0.165305,0.052715,-0.144808,-0.012479,-0.214458,0.139553,-0.163121,-0.005903,-0.093205,-0.019834,0.151527,-0.449140,1.059514,-0.057015,0.129322,-0.023374,0.052289,-0.064108,0.243423,1.068447,0.034300,-0.134159,-0.108609,0.000000,0.000000
-0.139579,-0.009125,0.205396,0.120795,-0.164998,0.051789,-0.144532,-0.011113,-0.213307,0.137480,-0.162746,-0.007296,-0.093055,-0.019333,0.153424,-0.445137,1.059134,-0.054308,0.122947,-0.020934,0.050622,-0.064466,0.248397,1.069377,0.034334,-0.138768,-0.109779,0.000000,0.000000
-0.140017,-0.008581,0.205958,0.121121,-0.164466,0.051033,-0.146592,-0.010641,-0.211946,0.140828,-0.164893,-0.008855,-0.092880,-0.018500,0.154985,-0.440059,1.059369,-0.052778,0.119156,-0.019208,0.049635,-0.064820,0.251415,1.070093,0.034464,-0.139543,-0.108937,0.000000,0.000000
-0.140282,-0.008390,0.206270,0.121407,-0.163874,0.050427,-0.149813,-0.010833,-0.210880,0.147231,-0.168453,-0.010366,-0.093189,-0.017228,0.156404,-0.435662,1.059905,-0.052146,0.116478,-0.018684,0.049555,-0.065177,0.252190,1.070566,0.034992,-0.137400,-0.107460,0.000000,0.000000
-0.140339,-0.008509,0.206218,0.121660,-0.163292,0.049958,-0.153656,-0.011604,-0.210349,0.155665,-0.172934,-0.011731,-0.093859,-0.015836,0.157367,-0.433224,1.061239,-0.052279,0.114647,-0.019657,0.050652,-0.065415,0.249998,1.070786,0.036016,-0.132485,-0.105781,0.000000,0.000000
-0.140320,-0.008602,0.205564,0.121940,-0.162675,0.049229,-0.156661,-0.012368,-0.210756,0.163141,-0.177150,-0.013041,-0.095234,-0.014157,0.158143,-0.432585,1.062494,-0.051979,0.115251,-0.019194,0.052673,-0.065451,0.245332,1.069870,0.036826,-0.125945,-0.103172,0.000000,0.000000
-0.140223,-0.008707,0.204354,0.122210,-0.162042,0.048311,-0.158789,-0.013111,-0.211959,0.169470,-0.180992,-0.014279,-0.096855,-0.012395,0.158490,-0.433625,1.064086,-0.051656,0.117155,-0.018052,0.055427,-0.065136,0.238620,1.068491,0.037468,-0.118322,-0.100418,0.000000,0.000000
-0.139991,-0.008969,0.202539,0.122279,-0.161367,0.047371,-0.159972,-0.013889,-0.213806,0.174295,-0.184238,-0.015442,-0.098495,-0.010169,0.158246,-0.435759,1.066205,-0.052474,0.117773,-0.018311,0.058690,-0.064541,0.231337,1.067857,0.038252,-0.109900,-0.099568,0.000000,0.000000
-0.139533,-0.009264,0.200517,0.122304,-0.160829,0.046456,-0.160250,-0.014585,-0.215896,0.177808,-0.187049,-0.016379,-0.099754,-0.008046,0.157367,-0.437709,1.068273,-0.054580,0.118352,-0.018334,0.062051,-0.063785,0.223958,1.067738,0.038755,-0.102381,-0.099074,0.000000,0.000000
-0.138789,-0.009549,0.198445,0.122327,-0.160511,0.045602,-0.159568,-0.015131,-0.218053,0.179940,-0.189431,-0.017026,-0.100678,-0.006107,0.155777,-0.438448,1.069939,-0.058192,0.119273,-0.017592,0.065203,-0.062979,0.217208,1.068230,0.038746,-0.096595,-0.098444,0.000000,0.000000
-0.138193,-0.009762,0.196196,0.122366,-0.160222,0.044725,-0.158764,-0.015503,-0.220146,0.181479,-0.191484,-0.017933,-0.101101,-0.004317,0.154039,-0.437262,1.070449,-0.061515,0.117106,-0.017053,0.067939,-0.062513,0.212888,1.069384,0.037984,-0.095124,-0.097758,0.000000,0.000000
-0.137696,-0.009944,0.193829,0.122420,-0.159900,0.043922,-0.157806,-0.015759,-0.222219,0.182485,-0.193241,-0.018952,-0.101104,-0.002997,0.152052,-0.434459,1.070415,-0.063847,0.113890,-0.016902,0.070277,-0.062408,0.210662,1.071148,0.036694,-0.096813,-0.097141,0.000000,0.000000
-0.137198,-0.010185,0.191457,0.122504,-0.159480,0.043508,-0.156564,-0.015997,-0.224396,0.182942,-0.194715,-0.019734,-0.100830,-0.002097,0.150564,-0.430351,1.069852,-0.063596,0.114751,-0.017779,0.072540,-0.062629,0.210262,1.073108,0.035251,-0.099560,-0.097035,0.000000,0.000000
-0.136679,-0.010396,0.189125,0.122581,-0.159111,0.043065,-0.155244,-0.016215,-0.226564,0.183254,-0.196025,-0.020334,-0.100428,-0.001850,0.149713,-0.427086,1.068823,-0.061610,0.115284,-0.018487,0.074303,-0.062941,0.210975,1.074930,0.034558,-0.101789,-0.096700,0.000000,0.000000
-0.136136,-0.010545,0.186869,0.122654,-0.158863,0.042436,-0.153940,-0.016421,-0.228678,0.183630,-0.197239,-0.020743,-0.099557,-0.002766,0.149368,-0.426116,1.067819,-0.057992,0.113998,-0.018559,0.075428,-0.063165,0.211954,1.076510,0.035112,-0.102771,-0.095881,0.000000,0.000000
-0.135444,-0.010698,0.184678,0.122723,-0.158556,0.041647,-0.152416,-0.016591,-0.230755,0.183783,-0.198323,-0.021199,-0.099173,-0.003917,0.149108,-0.426284,1.067668,-0.055328,0.114291,-0.018908,0.076233,-0.063614,0.214163,1.078079,0.036610,-0.102234,-0.095602,0.000000,0.000000
-0.134754,-0.010840,0.182594,0.122781,-0.158190,0.040794,-0.150829,-0.016734,-0.232810,0.183714,-0.199254,-0.021653,-0.098555,-0.005165,0.149190,-0.427737,1.067686,-0.053687,0.115448,-0.019354,0.076647,-0.063929,0.215806,1.079379,0.038590,-0.101549,-0.095851,0.000000,0.000000
-0.134453,-0.010903,0.180759,0.122817,-0.157797,0.040104,-0.149609,-0.016863,-0.234895,0.183470,-0.199996,-0.021944,-0.098214,-0.005556,0.149465,-0.429665,1.066576,-0.052727,0.115411,-0.019519,0.076871,-0.064236,0.217287,1.079274,0.039284,-0.101726,-0.096472,0.000000,0.000000
-0.134291,-0.011010,0.178890,0.122829,-0.157324,0.039472,-0.148475,-0.017021,-0.237027,0.183128,-0.200647,-0.022236,-0.097965,-0.005386,0.149790,-0.431317,1.065175,-0.052739,0.114695,-0.019561,0.076654,-0.064512,0.218395,1.078813,0.039268,-0.102920,-0.097222,0.000000,0.000000
-0.134197,-0.011224,0.176877,0.122795,-0.156740,0.038874,-0.147395,-0.017243,-0.239216,0.182815,-0.201298,-0.022588,-0.097826,-0.004782,0.149986,-0.432555,1.064088,-0.053714,0.113111,-0.019510,0.075980,-0.064742,0.219445,1.078418,0.038440,-0.105087,-0.097962,0.000000,0.000000
-0.134374,-0.011497,0.174905,0.122747,-0.156213,0.038265,-0.146862,-0.017567,-0.241301,0.183021,-0.202177,-0.023160,-0.097801,-0.003677,0.150027,-0.433360,1.063830,-0.054490,0.114071,-0.019484,0.075286,-0.064950,0.220560,1.078215,0.037156,-0.107610,-0.098504,0.000000,0.000000
-0.134699,-0.011823,0.172978,0.122678,-0.155741,0.037692,-0.146709,-0.017969,-0.243270,0.183648,-0.203235,-0.023831,-0.097997,-0.002096,0.149882,-0.433347,1.063775,-0.055325,0.115922,-0.019249,0.074519,-0.065300,0.221873,1.077996,0.035682,-0.110074,-0.098822,0.000000,0.000000
-0.134856,-0.012206,0.171112,0.122586,-0.155346,0.037287,-0.146538,-0.018413,-0.245067,0.184539,-0.204360,-0.024318,-0.098640,-0.000505,0.149138,-0.430936,1.062698,-0.057298,0.114431,-0.018061,0.073158,-0.066064,0.223332,1.077323,0.034595,-0.111955,-0.098784,0.000000,0.000000
-0.135065,-0.012573,0.169316,0.122493,-0.155033,0.036958,-0.146451,-0.018825,-0.246733,0.185389,-0.205439,-0.024718,-0.099083,0.000376,0.148107,-0.428587,1.062573,-0.058542,0.112768,-0.017065,0.072057,-0.066907,0.224486,1.076507,0.034022,-0.112714,-0.098848,0.000000,0.000000
-0.135387,-0.012890,0.167602,0.122405,-0.154812,0.036678,-0.146477,-0.019170,-0.248280,0.186082,-0.206421,-0.025051,-0.099076,0.000465,0.147340,-0.427306,1.063754,-0.058349,0.111906,-0.016687,0.071516,-0.067467,0.225149,1.075682,0.034062,-0.112019,-0.099204,0.000000,0.000000
-0.135561,-0.013195,0.165955,0.122318,-0.154625,0.036471,-0.146265,-0.019503,-0.249914,0.186586,-0.207258,-0.025395,-0.099254,0.000096,0.146758,-0.426282,1.064887,-0.057667,0.111853,-0.016743,0.071070,-0.067860,0.225594,1.075015,0.034294,-0.111258,-0.099325,0.000000,0.000000
