root_ori6_0,root_ori6_1,root_ori6_2,root_ori6_3,root_ori6_4,root_ori6_5
-0.022076160,0.988322318,-0.989322841,-0.043326646,0.144059777,-0.146089613
-0.021728247,0.988442957,-0.989448726,-0.042761415,0.143244877,-0.145437136
-0.021379709,0.988563001,-0.989573896,-0.042196751,0.142430052,-0.144784048
-0.021030694,0.988682508,-0.989698291,-0.041632622,0.141615376,-0.144130424
-0.020680755,0.988801420,-0.989822090,-0.041068703,0.140800759,-0.143476233
-0.020330399,0.988919318,-0.989944756,-0.040505499,0.139986232,-0.142821416
-0.019979298,0.989036620,-0.990066707,-0.039942503,0.139171779,-0.142166033
-0.019627571,0.989153266,-0.990187883,-0.039380074,0.138357446,-0.141510069
-0.019275129,0.989269257,-0.990308285,-0.038817942,0.137543201,-0.140853554
-0.018922240,0.989384413,-0.990427852,-0.038256496,0.136729077,-0.140196443
-0.018568486,0.989498854,-0.990546465,-0.037695318,0.135915026,-0.139538765
-0.018214196,0.989612639,-0.990664423,-0.037134558,0.135101065,-0.138880491
-0.017859221,0.989725769,-0.990781486,-0.036574244,0.134287223,-0.138221696
-0.017503649,0.989838243,-0.990897894,-0.036014527,0.133473501,-0.137562305
-0.017147422,0.989949882,-0.991013348,-0.035455167,0.132659882,-0.136902347
-0.016790599,0.990060806,-0.991127968,-0.034896284,0.131846368,-0.136241809
-0.016433239,0.990171075,-0.991241813,-0.034337997,0.131032944,-0.135580689
-0.016074926,0.990280688,-0.991354883,-0.033779830,0.130219653,-0.134919047
-0.015716255,0.990389645,-0.991467178,-0.033222377,0.129406482,-0.134256825
-0.015356749,0.990497708,-0.991578579,-0.032665223,0.128593415,-0.133594036
-0.014996886,0.990605056,-0.991689026,-0.032108784,0.127780452,-0.132930666
-0.014636070,0.990711808,-0.991798878,-0.031552464,0.126967624,-0.132266790
-0.014274806,0.990817904,-0.991907835,-0.030996829,0.126154914,-0.131602302
-0.013912797,0.990923226,-0.992016017,-0.030441523,0.125342309,-0.130937278
-0.013550192,0.991027892,-0.992123425,-0.029886752,0.124529853,-0.130271703
-0.013187081,0.991131663,-0.992229819,-0.029332548,0.123717517,-0.129605561
-0.012823313,0.991234958,-0.992335618,-0.028778762,0.122905314,-0.128938884
-0.012458652,0.991337359,-0.992440403,-0.028225213,0.122093201,-0.128271639
-0.012093782,0.991439104,-0.992544532,-0.027672470,0.121281266,-0.127603844
-0.011727929,0.991540194,-0.992647767,-0.027119935,0.120469444,-0.126935497
-0.011361539,0.991640627,-0.992750347,-0.026567936,0.119657747,-0.126266614
-0.010994554,0.991740227,-0.992851853,-0.026016414,0.118846193,-0.125597164
-0.010627031,0.991839170,-0.992952704,-0.025465548,0.118034773,-0.124927178
-0.010258704,0.991937280,-0.993052602,-0.024914891,0.117223486,-0.124256648
-0.009889901,0.992034733,-0.993151724,-0.024364889,0.116412342,-0.123585567
-0.009520173,0.992131591,-0.993250132,-0.023814976,0.115601338,-0.122913964
-0.009150147,0.992227733,-0.993347704,-0.023266017,0.114790492,-0.122241810
-0.008779526,0.992322922,-0.993444204,-0.022717476,0.113979779,-0.121569090
-0.008407980,0.992417634,-0.993540227,-0.022169143,0.113169208,-0.120895870
-0.008036077,0.992511511,-0.993635178,-0.021621525,0.112358786,-0.120222077
-0.007663518,0.992604792,-0.993729532,-0.021074384,0.111548536,-0.119547777
-0.007290214,0.992697358,-0.993822932,-0.020527571,0.110738412,-0.118872933
-0.006916195,0.992789090,-0.993915498,-0.019981116,0.109928437,-0.118197560
-0.006541759,0.992880106,-0.994007230,-0.019435495,0.109118618,-0.117521636
-0.006166667,0.992970467,-0.994098186,-0.018890232,0.108308986,-0.116845213
-0.005790979,0.993060231,-0.994188428,-0.018345445,0.107499510,-0.116168253
-0.005414784,0.993149102,-0.994277656,-0.017801285,0.106690176,-0.115490735
-0.005037814,0.993237197,-0.994365990,-0.017257482,0.105880998,-0.114812709
-0.004660040,0.993324816,-0.994453728,-0.016713887,0.105071977,-0.114134163
-0.004281849,0.993411481,-0.994540513,-0.016171068,0.104263142,-0.113455102
-0.003903121,0.993497550,-0.994626462,-0.015628844,0.103454463,-0.112775497
-0.003523737,0.993582964,-0.994711757,-0.015087038,0.102645978,-0.112095386
-0.003143698,0.993667543,-0.994796097,-0.014545709,0.101837628,-0.111414745
-0.002762944,0.993751526,-0.994879723,-0.014004737,0.101029448,-0.110733591
-0.002381712,0.993834674,-0.994962394,-0.013464421,0.100221463,-0.110051915
-0.001999825,0.993917108,-0.995044231,-0.012924582,0.099413633,-0.109369718
-0.001617491,0.993998945,-0.995125353,-0.012385368,0.098606013,-0.108687021
-0.001234353,0.994080007,-0.995205581,-0.011846483,0.097798564,-0.108003817
-0.000850588,0.994160295,-0.995284915,-0.011308044,0.096991271,-0.107320093
-0.000466108,0.994239807,-0.995363474,-0.010770082,0.096184142,-0.106635831
-0.000081360,0.994318664,-0.995441139,-0.010232866,0.095377229,-0.105951071
0.000304192,0.994396865,-0.995518148,-0.009696007,0.094570495,-0.105265811
0.000690430,0.994474292,-0.995594263,-0.009159595,0.093763940,-0.104580052
0.001077086,0.994551063,-0.995669484,-0.008623838,0.092957594,-0.103893787
0.001464486,0.994626999,-0.995743871,-0.008088470,0.092151403,-0.103207007
0.001852393,0.994702339,-0.995817542,-0.007553756,0.091345437,-0.102519728
0.002240896,0.994776905,-0.995890439,-0.007019460,0.090539664,-0.101831958
0.002630144,0.994850814,-0.995962441,-0.006485641,0.089734070,-0.101143688
0.003019869,0.994923830,-0.996033430,-0.005952388,0.088928655,-0.100454889
0.003410310,0.994996190,-0.996103764,-0.005419582,0.088123456,-0.099765614
0.003801286,0.995067954,-0.996173263,-0.004887313,0.087318458,-0.099075846
0.004192710,0.995138884,-0.996241927,-0.004355758,0.086513661,-0.098385580
0.004585028,0.995209038,-0.996309578,-0.003824383,0.085709058,-0.097694814
