f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
-0.443097,0.418580,0.083820,0.573894,-0.073104,-0.114981,0.074145,0.259739,-0.186591,0.117593,-0.185565,-0.122776,-0.090953,0.008923,0.123082,-0.451778,1.017608,0.161539,0.139657,-0.053316,0.100505,-0.155255,0.327754,1.063239,-0.074016,-0.051866,-0.159621,0.000000,0.000000
-0.442765,0.417964,0.083618,0.573545,-0.072776,-0.115037,0.074526,0.259483,-0.186971,0.117600,-0.185636,-0.122700,-0.091394,0.008912,0.123034,-0.452348,1.017886,0.161396,0.138931,-0.053804,0.100920,-0.155686,0.327993,1.063102,-0.074775,-0.050816,-0.160516,0.000000,0.000000
-0.442622,0.417232,0.083126,0.573388,-0.072591,-0.114716,0.074882,0.259120,-0.187728,0.117609,-0.185761,-0.122935,-0.091587,0.009199,0.122971,-0.452313,1.017942,0.160273,0.139001,-0.053523,0.101579,-0.156022,0.328241,1.063063,-0.074831,-0.049903,-0.160868,0.000000,0.000000
-0.442515,0.416495,0.082581,0.573277,-0.072443,-0.114367,0.075234,0.258761,-0.188511,0.117614,-0.185907,-0.123051,-0.091965,0.009515,0.122902,-0.452134,1.017937,0.159649,0.139249,-0.053263,0.102083,-0.156258,0.328535,1.063097,-0.073868,-0.049370,-0.160457,0.000000,0.000000
-0.442402,0.415788,0.082058,0.573178,-0.072308,-0.114118,0.075580,0.258439,-0.189203,0.117625,-0.186073,-0.122881,-0.092488,0.009734,0.122851,-0.452293,1.017919,0.160197,0.139331,-0.053277,0.102519,-0.156428,0.328702,1.062925,-0.071690,-0.049415,-0.159083,0.000000,0.000000
-0.442200,0.415144,0.081610,0.572930,-0.072172,-0.114184,0.075933,0.258163,-0.189849,0.117633,-0.186111,-0.122692,-0.092820,0.009846,0.122808,-0.452500,1.018044,0.160408,0.138927,-0.053511,0.103097,-0.156564,0.328637,1.062726,-0.068529,-0.048572,-0.157181,0.000000,0.000000
-0.441978,0.414552,0.081225,0.572642,-0.072029,-0.114372,0.076296,0.257911,-0.190478,0.117629,-0.186096,-0.122512,-0.092989,0.009809,0.122753,-0.452655,1.018338,0.160278,0.138331,-0.053768,0.103805,-0.156629,0.328311,1.062338,-0.064017,-0.047007,-0.154498,0.000000,0.000000
-0.441891,0.414101,0.080970,0.572557,-0.071841,-0.114188,0.076638,0.257686,-0.191094,0.117612,-0.186216,-0.122450,-0.093090,0.009752,0.122710,-0.452763,1.018477,0.159834,0.137880,-0.053438,0.104162,-0.156605,0.328074,1.062096,-0.057758,-0.044658,-0.150644,0.000000,0.000000
-0.441839,0.413678,0.080705,0.572523,-0.071716,-0.114027,0.076916,0.257456,-0.191684,0.117630,-0.186348,-0.122314,-0.093129,0.009680,0.122677,-0.452901,1.018506,0.159439,0.137979,-0.053061,0.104384,-0.156532,0.328015,1.061953,-0.050068,-0.043099,-0.146388,0.000000,0.000000
-0.441786,0.413225,0.080378,0.572460,-0.071681,-0.114011,0.077135,0.257207,-0.192240,0.117631,-0.186415,-0.122029,-0.093114,0.009532,0.122644,-0.453165,1.018681,0.159352,0.138824,-0.052790,0.104457,-0.156388,0.328212,1.061917,-0.040708,-0.042924,-0.141761,0.000000,0.000000
