left_wrist_roll_joint,right_wrist_roll_joint,left_wrist_pitch_joint,right_wrist_pitch_joint,left_wrist_yaw_joint,right_wrist_yaw_joint
-0.190848589,-0.007200800,0.052461199,-0.038511999,-0.185038000,0.014246000
-0.190804407,-0.007208200,0.052436002,-0.038506798,-0.185037002,0.014234601
-0.190788001,-0.007211600,0.052421801,-0.038504999,-0.185038000,0.014227599
-0.190779999,-0.007214000,0.052406002,-0.038504001,-0.185039997,0.014220000
-0.190756798,-0.007218000,0.052363198,-0.038504802,-0.185053200,0.014199800
-0.190724805,-0.007222800,0.052316800,-0.038506802,-0.185072199,0.014177800
-0.190686807,-0.007219800,0.052265402,-0.038510598,-0.185104191,0.014154000
-0.190601200,-0.007202800,0.052154601,-0.038522199,-0.185177997,0.014098000
-0.190548003,-0.007189000,0.052103002,-0.038530000,-0.185203001,0.014066000
-0.190514803,-0.007178199,0.052072600,-0.038531002,-0.185209811,0.014044600
-0.183801785,-0.007764001,0.045408189,-0.035923395,-0.187998012,0.006379589
-0.182136402,-0.007913200,0.043740202,-0.035273202,-0.188706607,0.004471200
-0.182141811,-0.007901400,0.043692399,-0.035275001,-0.188750803,0.004473600
-0.182150006,-0.007884000,0.043639999,-0.035273001,-0.188789994,0.004479000
-0.182156801,-0.007851000,0.043575197,-0.035271000,-0.188842803,0.004490000
-0.183801994,-0.003077000,0.031927001,-0.036566000,-0.199092001,0.006738000
-0.183809802,-0.003072400,0.031925797,-0.036562603,-0.199097589,0.006742600
-0.183816001,-0.003060800,0.031922199,-0.036554597,-0.199099198,0.006752000
-0.183809996,-0.003043000,0.031916998,-0.036545001,-0.199089006,0.006762000
-0.183797002,-0.003015600,0.031915400,-0.036526799,-0.199081808,0.006772600
-0.183787003,-0.002979400,0.031918600,-0.036497600,-0.199095815,0.006781200
-0.183788002,-0.002952400,0.031918000,-0.036476400,-0.199110597,0.006784000
-0.183795005,-0.002910400,0.031907000,-0.036444400,-0.199129000,0.006782000
-0.183789000,-0.002892000,0.031897001,-0.036433000,-0.199122995,0.006778000
-0.183780804,-0.002870000,0.031876199,-0.036422800,-0.199112996,0.006770000
-0.183777198,-0.002853400,0.031850800,-0.036419198,-0.199105591,0.006761800
-0.183774978,-0.002839600,0.031814396,-0.036420200,-0.199094594,0.006752800
-0.183776617,-0.002833400,0.031788800,-0.036424197,-0.199090004,0.006747400
-0.183780998,-0.002827000,0.031769000,-0.036431000,-0.199094996,0.006741000
-0.183788002,-0.002818400,0.031747200,-0.036436800,-0.199105397,0.006735200
-0.183799982,-0.002807000,0.031716600,-0.036442399,-0.199122608,0.006731200
-0.183805615,-0.002801600,0.031699397,-0.036446601,-0.199130595,0.006732200
-0.183810592,-0.002796400,0.031673998,-0.036453199,-0.199139804,0.006735200
-0.180766016,-0.003438995,0.031097006,-0.033379026,-0.196331009,0.010270973
-0.180765599,-0.003439000,0.031097002,-0.033379000,-0.196330607,0.010272000
-0.180762410,-0.003437200,0.031096000,-0.033376202,-0.196328998,0.010273799
-0.180752188,-0.003436000,0.031094801,-0.033371598,-0.196335793,0.010280799
-0.180744588,-0.003436000,0.031089999,-0.033368401,-0.196341798,0.010289000
-0.180740997,-0.003435000,0.031082001,-0.033367999,-0.196343005,0.010295000
-0.180738598,-0.003435400,0.031074401,-0.033366200,-0.196339399,0.010300600
-0.180731192,-0.003440000,0.031057201,-0.033355203,-0.196320191,0.010317600
-0.180730015,-0.003440000,0.031054800,-0.033350799,-0.196318194,0.010321200
-0.180729404,-0.003440000,0.031052399,-0.033347402,-0.196322799,0.010324599
-0.180726007,-0.003444000,0.031036001,-0.033335000,-0.196355000,0.010342000
-0.180723995,-0.003446400,0.031023599,-0.033327602,-0.196377203,0.010352800
-0.180723995,-0.003447000,0.031018600,-0.033324398,-0.196384400,0.010357399
-0.180724397,-0.003447400,0.031013601,-0.033320002,-0.196385980,0.010361800
-0.180728614,-0.003450000,0.031000398,-0.033311397,-0.196387604,0.010370599
-0.180729002,-0.003450000,0.030998999,-0.033310998,-0.196389005,0.010371000
-0.180738002,-0.003448000,0.030995000,-0.033309001,-0.196391612,0.010375399
-0.180748001,-0.003448000,0.030991400,-0.033308201,-0.196384609,0.010380400
-0.180759996,-0.003449200,0.030985400,-0.033306800,-0.196383595,0.010388800
-0.180772603,-0.003451000,0.030979801,-0.033305399,-0.196390212,0.010397400
-0.180782005,-0.003451000,0.030978000,-0.033305001,-0.196392998,0.010403000
-0.180801004,-0.003451000,0.030975997,-0.033305999,-0.196393996,0.010414000
-0.180810988,-0.003452800,0.030974202,-0.033307798,-0.196389616,0.010424000
-0.180823594,-0.003453000,0.030970000,-0.033312201,-0.196380600,0.010439800
-0.180829197,-0.003453000,0.030968400,-0.033314001,-0.196375191,0.010447200
-0.180836007,-0.003454000,0.030965000,-0.033316001,-0.196365997,0.010457000
-0.180833608,-0.003454400,0.030962000,-0.033316799,-0.196368814,0.010461600
